job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB2,47,54,0
J0001,2,SAMPLE_CLASSIFY,LAB1,54,68,0
J0001,3,UNLOAD,HOP2,68,112,0
J0001,4,WEIGH_OUT,WB1,112,119,0
J0002,1,WEIGH_IN,WB1,59,66,0
J0002,2,SAMPLE_CLASSIFY,LAB1,68,83,2
J0002,3,UNLOAD,HOP1,83,122,0
J0002,4,WEIGH_OUT,WB1,122,128,0
J0003,1,WEIGH_IN,WB1,68,76,0
J0003,2,SAMPLE_CLASSIFY,LAB1,83,96,7
J0003,3,UNLOAD,HOP1,122,158,26
J0003,4,WEIGH_OUT,WB1,158,165,0
J0004,1,WEIGH_IN,WB2,72,80,0
J0004,2,SAMPLE_CLASSIFY,LAB1,96,112,16
J0004,3,UNLOAD,HOP1,158,202,46
J0004,4,WEIGH_OUT,WB1,202,208,0
J0005,1,WEIGH_IN,WB1,77,86,0
J0005,2,SAMPLE_CLASSIFY,LAB1,112,127,26
J0005,3,UNLOAD,HOP1,202,243,75
J0005,4,WEIGH_OUT,WB2,243,249,0
J0006,1,WEIGH_IN,WB1,86,93,1
J0006,2,SAMPLE_CLASSIFY,LAB1,127,140,34
J0006,3,UNLOAD,HOP1,243,281,103
J0006,4,WEIGH_OUT,WB1,281,287,0
J0007,1,WEIGH_IN,WB2,90,97,0
J0007,2,SAMPLE_CLASSIFY,LAB1,140,155,43
J0007,3,UNLOAD,HOP1,281,327,126
J0007,4,WEIGH_OUT,WB2,327,334,0
J0008,1,WEIGH_IN,WB1,93,101,1
J0008,2,SAMPLE_CLASSIFY,LAB1,155,167,54
J0008,3,UNLOAD,HOP1,327,362,160
J0008,4,WEIGH_OUT,WB2,362,368,0
J0009,1,WEIGH_IN,WB2,97,105,1
J0009,2,SAMPLE_CLASSIFY,LAB1,167,180,62
J0009,3,UNLOAD,HOP1,362,396,182
J0009,4,WEIGH_OUT,WB2,396,402,0
J0010,1,WEIGH_IN,WB1,101,108,1
J0010,2,SAMPLE_CLASSIFY,LAB1,180,193,72
J0010,3,UNLOAD,HOP1,396,430,203
J0010,4,WEIGH_OUT,WB1,430,436,0
J0011,1,WEIGH_IN,WB2,189,196,0
J0011,2,SAMPLE_CLASSIFY,LAB1,196,209,0
J0011,3,UNLOAD,HOP1,430,464,221
J0011,4,WEIGH_OUT,WB1,464,470,0
J0012,1,WEIGH_IN,WB1,222,229,0
J0012,2,SAMPLE_CLASSIFY,LAB1,229,247,0
J0012,3,UNLOAD,HOP1,464,508,217
J0012,4,WEIGH_OUT,WB1,508,514,0
J0013,1,WEIGH_IN,WB1,235,242,0
J0013,2,SAMPLE_CLASSIFY,LAB1,247,259,5
J0013,3,UNLOAD,HOP2,259,289,0
J0013,4,WEIGH_OUT,WB1,289,295,0
J0014,1,WEIGH_IN,WB1,242,249,5
J0014,2,SAMPLE_CLASSIFY,LAB1,259,270,10
J0014,3,UNLOAD,HOP2,289,325,19
J0014,4,WEIGH_OUT,WB2,334,342,9
J0015,1,WEIGH_IN,WB1,249,257,12
J0015,2,SAMPLE_CLASSIFY,LAB1,270,284,13
J0015,3,UNLOAD,HOP2,325,367,41
J0015,4,WEIGH_OUT,WB2,368,375,1
J0016,1,WEIGH_IN,WB2,249,257,12
J0016,2,SAMPLE_CLASSIFY,LAB1,284,297,27
J0016,3,UNLOAD,HOP1,508,542,211
J0016,4,WEIGH_OUT,WB1,542,548,0
J0017,1,WEIGH_IN,WB1,257,264,6
J0017,2,SAMPLE_CLASSIFY,LAB1,297,309,33
J0017,3,UNLOAD,HOP2,367,410,58
J0017,4,WEIGH_OUT,WB1,410,416,0
J0018,1,WEIGH_IN,WB2,259,267,0
J0018,2,SAMPLE_CLASSIFY,LAB1,309,319,42
J0018,3,UNLOAD,HOP2,410,445,91
J0018,4,WEIGH_OUT,WB1,445,451,0
J0019,1,WEIGH_IN,WB1,264,271,0
J0019,2,SAMPLE_CLASSIFY,LAB1,319,332,48
J0019,3,UNLOAD,HOP2,445,484,113
J0019,4,WEIGH_OUT,WB1,484,490,0
J0020,1,WEIGH_IN,WB1,274,281,0
J0020,2,SAMPLE_CLASSIFY,LAB1,332,344,51
J0020,3,UNLOAD,HOP2,484,525,140
J0020,4,WEIGH_OUT,WB1,525,531,0
J0021,1,WEIGH_IN,WB1,437,445,0
J0021,2,SAMPLE_CLASSIFY,LAB1,445,463,0
J0021,3,UNLOAD,HOP1,542,585,79
J0021,4,WEIGH_OUT,WB1,585,591,0
J0022,1,WEIGH_IN,WB1,472,480,0
J0022,2,SAMPLE_CLASSIFY,LAB1,480,492,0
J0022,3,UNLOAD,HOP1,585,638,93
J0022,4,WEIGH_OUT,WB2,638,644,0
J0023,1,WEIGH_IN,WB1,517,524,0
J0023,2,SAMPLE_CLASSIFY,LAB1,524,537,0
J0023,3,UNLOAD,HOP2,606,645,69
J0023,4,WEIGH_OUT,WB1,645,651,0
J0024,1,WEIGH_IN,WB2,534,542,0
J0024,2,SAMPLE_CLASSIFY,LAB1,542,560,0
J0024,3,UNLOAD,HOP1,638,687,78
J0024,4,WEIGH_OUT,WB1,687,693,0
