job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,47,347,418,300,371,300,6,0,9,8,18,10.308,-2.6814,22.0725,62,EARLY
J0002,59,359,421,300,362,300,6,10,9,8,18,10.308,-2.6814,3.738,59,EARLY
J0003,68,368,424,300,356,300,6,10,0,8,18,10.308,-2.6814,6.8688,56,EARLY
J0004,72,342,397,270,325,270,6,10,9,8,18,10.308,-2.6814,-3.7521,60,EARLY
J0005,77,317,342,240,265,240,-8,10,9,8,18,10.308,-2.6814,-19.6915,60,EARLY
J0006,85,385,435,300,350,300,6,10,0,8,18,10.308,-2.6814,0.7827,53,EARLY
J0007,90,390,455,300,365,300,6,10,9,8,18,10.308,-2.6814,6.3596,59,EARLY
J0008,92,332,362,240,270,240,-8,10,0,8,18,10.308,-2.6814,-5.167,53,EARLY
J0009,96,336,407,240,311,240,-8,10,0,8,18,10.308,-2.6814,35.698,54,EARLY
J0010,100,400,422,300,322,300,-8,10,0,8,18,10.308,-2.6814,-14.0084,52,EARLY
J0011,189,489,546,300,357,300,6,10,0,8,18,10.308,-2.6814,6.9172,55,EARLY
J0012,222,522,566,300,344,300,-8,10,9,8,18,10.308,-2.6814,-0.2106,61,EARLY
J0013,235,475,485,240,250,240,-8,0,-5,8,18,10.308,-2.6814,-10.235,50,EARLY
J0014,237,537,588,300,351,300,6,0,0,8,18,10.308,-2.6814,11.1667,52,EARLY
J0015,237,537,573,300,336,300,-8,0,0,8,18,10.308,-2.6814,10.8525,56,EARLY
J0016,237,537,569,300,332,300,-8,10,0,8,18,10.308,-2.6814,-3.6829,53,EARLY
J0017,251,551,589,300,338,300,6,0,0,0,18,10.308,-4.1766,7.7621,55,MID
J0018,259,529,554,270,295,270,-8,5,0,0,18,10.308,-4.1766,3.4653,50,MID
J0019,264,564,596,300,332,300,6,5,9,0,18,10.308,-4.1766,-12.3281,54,MID
J0020,274,574,606,300,332,300,6,5,9,0,18,10.308,-4.1766,-11.8243,58,MID
J0021,437,737,770,300,333,300,6,10,9,0,18,10.308,-4.1766,-16.554,60,MID
J0022,472,742,769,270,297,270,6,0,9,0,18,10.308,-4.1766,-11.8049,62,MID
J0023,517,817,838,300,321,300,-8,5,9,-12,18,10.308,4.2334,-5.6199,57,LATE
J0024,534,834,873,300,339,300,-8,10,9,-12,18,10.308,4.2334,7.0523,62,LATE
