job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,CORN,43,47,47,REGULAR,1.0,0,WET,300,418,1.7272,EARLY,0.5621079046424091
J0002,SOY,38,59,59,REGULAR,1.0,0,WET,300,421,1.5263,EARLY,0.8030112923462986
J0003,SOY,40,68,68,REGULAR,1.0,0,NORMAL,300,424,1.6067,EARLY,0.9385194479297366
J0004,SOY,40,72,72,CONTRACTED,1.25,0,WET,300,397,1.6067,EARLY,0.9786700125470515
J0005,SOY,40,77,63,URGENT,1.75,1,WET,300,342,1.6067,EARLY,1.0037641154328734
J0006,SOY,38,85,85,REGULAR,1.0,0,NORMAL,300,435,1.5263,EARLY,1.0037641154328734
J0007,SOY,39,90,90,REGULAR,1.0,0,WET,300,455,1.5665,EARLY,0.9786700125470515
J0008,SOY,39,92,87,URGENT,1.75,1,NORMAL,300,362,1.5665,EARLY,0.9585947302383941
J0009,SOY,38,96,85,URGENT,1.75,1,NORMAL,300,407,1.5263,EARLY,0.8983688833124217
J0010,SOY,35,100,0,REGULAR,1.0,1,NORMAL,300,422,1.4058,EARLY,0.8180677540777919
J0011,SOY,39,189,189,REGULAR,1.0,0,NORMAL,300,546,1.5665,EARLY,0.1932245922208281
J0012,SOY,41,222,21,REGULAR,1.0,1,WET,300,566,1.6468,EARLY,0.725219573400251
J0013,CORN,37,235,232,URGENT,1.75,1,DRY,300,485,1.4862,EARLY,0.9209535759096614
J0014,CORN,41,237,237,REGULAR,1.0,0,NORMAL,300,588,1.6468,EARLY,0.9410288582183188
J0015,CORN,45,237,131,REGULAR,1.0,1,NORMAL,300,573,1.8075,EARLY,0.9410288582183188
J0016,SOY,36,237,83,REGULAR,1.0,1,NORMAL,300,569,1.446,EARLY,0.9410288582183188
J0017,CORN,45,251,251,REGULAR,1.0,0,NORMAL,300,589,1.8075,MID,0.875784190715182
J0018,SORGHUM,34,259,144,CONTRACTED,1.25,1,NORMAL,300,554,1.3657,MID,0.8155583437892095
J0019,SORGHUM,32,264,264,REGULAR,1.0,0,WET,300,596,1.2853,MID,0.752823086574655
J0020,SORGHUM,38,274,274,REGULAR,1.0,0,WET,300,606,1.5263,MID,0.5771643663739022
J0021,SOY,38,437,437,REGULAR,1.0,0,WET,300,770,1.5263,MID,0.06273525721455459
J0022,CORN,45,472,472,CONTRACTED,1.25,0,WET,300,769,1.8075,MID,0.10037641154328733
J0023,SORGHUM,35,517,350,REGULAR,1.0,1,WET,300,838,1.4058,LATE,0.14554579673776666
J0024,SOY,41,534,452,REGULAR,1.0,1,WET,300,873,1.6468,LATE,0.1079046424090339
