event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""CONTRACTED""}"
53,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""CONTRACTED""}"
61,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
81,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
89,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
110,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""CONTRACTED""}"
111,JOB_VISIBLE,JOB,J0007,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
129,JOB_VISIBLE,JOB,J0015,"{""commodity"":""SORGHUM"",""load_tons"":34,""priority_class"":""REGULAR""}"
144,JOB_VISIBLE,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
183,JOB_VISIBLE,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
196,JOB_VISIBLE,JOB,J0014,"{""commodity"":""SORGHUM"",""load_tons"":33,""priority_class"":""CONTRACTED""}"
197,JOB_VISIBLE,JOB,J0006,"{""commodity"":""SORGHUM"",""load_tons"":33,""priority_class"":""URGENT""}"
199,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""SORGHUM"",""load_tons"":33,""priority_class"":""URGENT""}"
203,JOB_VISIBLE,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
222,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
252,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""CONTRACTED""}"
252,JOB_VISIBLE,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""CONTRACTED""}"
263,JOB_ARRIVAL,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
291,JOB_ARRIVAL,JOB,J0010,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
291,JOB_VISIBLE,JOB,J0010,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
292,JOB_VISIBLE,JOB,J0019,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""REGULAR""}"
295,JOB_ARRIVAL,JOB,J0011,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
295,JOB_ARRIVAL,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
295,JOB_VISIBLE,JOB,J0011,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
296,JOB_ARRIVAL,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
296,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
300,JOB_ARRIVAL,JOB,J0014,"{""commodity"":""SORGHUM"",""load_tons"":33,""priority_class"":""CONTRACTED""}"
302,JOB_ARRIVAL,JOB,J0015,"{""commodity"":""SORGHUM"",""load_tons"":34,""priority_class"":""REGULAR""}"
306,JOB_ARRIVAL,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
312,JOB_VISIBLE,JOB,J0021,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""CONTRACTED""}"
