job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,53,323,350,270,297,270,-8,10,0,8,8,3.9469,-4.6594,9.3271,53,EARLY
J0002,61,331,363,270,302,270,-8,10,-5,8,8,3.9469,-4.6594,19.7593,52,EARLY
J0003,81,351,304,270,223,270,-8,0,0,8,8,3.9469,-4.6594,-54.5186,49,EARLY
J0004,89,389,446,300,357,300,-8,10,9,8,8,3.9469,-4.6594,31.1975,57,EARLY
J0005,110,380,378,270,268,270,-8,0,0,8,8,3.9469,-4.6594,-9.3409,49,EARLY
J0006,199,439,447,240,248,240,-8,5,0,8,8,3.9469,-4.6594,-4.635,48,EARLY
J0007,222,522,536,300,314,300,-8,0,9,8,8,3.9469,-4.6594,-2.1256,58,EARLY
J0008,252,522,553,270,301,270,6,0,9,0,8,3.9469,4.7916,-0.5775,60,MID
J0009,263,563,581,300,318,300,-8,10,0,0,8,3.9469,4.7916,-1.0605,55,MID
J0010,291,591,633,300,342,300,6,10,0,0,8,3.9469,4.7916,8.8543,53,MID
J0011,295,595,605,300,310,300,6,0,9,0,8,3.9469,4.7916,-22.1782,63,MID
J0012,295,595,615,300,320,300,-8,10,0,0,8,3.9469,4.7916,1.2026,56,MID
J0013,296,596,626,300,330,300,6,10,0,0,8,3.9469,4.7916,-2.5092,56,MID
J0014,300,570,567,270,267,270,-8,5,0,0,8,3.9469,4.7916,-16.9038,48,MID
J0015,302,602,599,300,297,300,-8,5,0,0,8,3.9469,4.7916,-16.5595,51,MID
J0016,306,606,603,300,297,300,-8,0,-5,0,8,3.9469,4.7916,-7.1673,49,MID
J0017,459,699,707,240,248,240,-8,0,0,0,8,3.9469,4.7916,-0.5885,54,MID
J0018,491,791,767,300,276,300,-8,0,0,-12,8,3.9469,-4.8371,-10.9839,54,LATE
J0019,500,800,800,300,300,300,-8,0,0,-12,8,3.9469,-4.8371,12.608,56,LATE
J0020,504,804,807,300,303,300,-8,10,9,-12,8,3.9469,-4.8371,-3.3018,59,LATE
J0021,505,775,766,270,261,270,-8,10,0,-12,8,3.9469,-4.8371,-5.8835,53,LATE
J0022,525,825,822,300,297,300,-8,0,0,-12,8,3.9469,-4.8371,9.7927,55,LATE
J0023,528,828,838,300,310,300,6,0,0,-12,8,3.9469,-4.8371,8.7574,53,LATE
J0024,566,866,849,300,283,300,-8,10,0,-12,8,3.9469,-4.8371,-14.582,53,LATE
