job_id,arrival_time_min,arrival_congestion_score,shift_bucket
J0001,9,0.2806122448979592,EARLY
J0002,14,0.3231292517006803,EARLY
J0003,63,0.7525510204081635,EARLY
J0004,64,0.7568027210884355,EARLY
J0005,78,0.7525510204081635,EARLY
J0006,80,0.7440476190476192,EARLY
J0007,110,0.3954081632653062,EARLY
J0008,162,0.03401360544217687,EARLY
J0009,232,0.5994897959183675,EARLY
J0010,242,0.8035714285714286,MID
J0011,246,0.854591836734694,MID
J0012,267,0.9438775510204083,MID
J0013,275,0.9098639455782314,MID
J0014,289,0.7312925170068028,MID
J0015,294,0.6335034013605443,MID
J0016,423,0.08078231292517007,MID
J0017,469,0.39115646258503406,MID
J0018,478,0.49744897959183687,MID
J0019,516,0.9566326530612246,LATE
J0020,522,1.00765306122449,LATE
J0021,522,1.0076530612244898,LATE
J0022,531,0.9396258503401362,LATE
J0023,557,0.6887755102040817,LATE
J0024,558,0.6717687074829933,LATE
