job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,133,61,0,0
J0002,167,83,20,0
J0003,198,105,49,0
J0004,231,133,69,0
J0005,264,158,95,0
J0006,199,91,43,0
J0007,297,186,123,0
J0008,332,219,153,0
J0009,359,199,147,0
J0010,259,80,27,0
J0011,287,102,49,0
J0012,313,84,32,0
J0013,391,115,56,0
J0014,344,66,12,0
J0015,425,121,58,0
J0016,461,141,72,0
J0017,524,72,0,0
J0018,559,76,7,0
J0019,558,67,11,0
J0020,589,72,15,0
J0021,582,63,15,0
J0022,622,90,31,0
J0023,656,123,59,0
J0024,631,69,8,0
