job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,72,80,0
J0001,2,SAMPLE_CLASSIFY,LAB1,80,96,0
J0001,3,UNLOAD,HOP1,96,127,0
J0001,4,WEIGH_OUT,WB1,127,133,0
J0002,1,WEIGH_IN,WB2,84,91,0
J0002,2,SAMPLE_CLASSIFY,LAB1,96,112,5
J0002,3,UNLOAD,HOP1,127,161,15
J0002,4,WEIGH_OUT,WB1,161,167,0
J0003,1,WEIGH_IN,WB2,93,100,0
J0003,2,SAMPLE_CLASSIFY,LAB1,112,124,12
J0003,3,UNLOAD,HOP1,161,192,37
J0003,4,WEIGH_OUT,WB1,192,198,0
J0004,1,WEIGH_IN,WB1,98,106,0
J0004,2,SAMPLE_CLASSIFY,LAB1,124,141,18
J0004,3,UNLOAD,HOP1,192,225,51
J0004,4,WEIGH_OUT,WB1,225,231,0
J0005,1,WEIGH_IN,WB1,106,113,0
J0005,2,SAMPLE_CLASSIFY,LAB1,141,158,28
J0005,3,UNLOAD,HOP1,225,258,67
J0005,4,WEIGH_OUT,WB1,258,264,0
J0006,1,WEIGH_IN,WB2,108,115,0
J0006,2,SAMPLE_CLASSIFY,LAB1,158,169,43
J0006,3,UNLOAD,HOP2,169,193,0
J0006,4,WEIGH_OUT,WB2,193,199,0
J0007,1,WEIGH_IN,WB1,113,121,2
J0007,2,SAMPLE_CLASSIFY,LAB1,169,185,48
J0007,3,UNLOAD,HOP1,258,291,73
J0007,4,WEIGH_OUT,WB2,291,297,0
J0008,1,WEIGH_IN,WB2,115,123,2
J0008,2,SAMPLE_CLASSIFY,LAB1,185,202,62
J0008,3,UNLOAD,HOP1,291,326,89
J0008,4,WEIGH_OUT,WB1,326,332,0
J0009,1,WEIGH_IN,WB2,160,167,0
J0009,2,SAMPLE_CLASSIFY,LAB1,202,214,35
J0009,3,UNLOAD,HOP1,326,353,112
J0009,4,WEIGH_OUT,WB2,353,359,0
J0010,1,WEIGH_IN,WB1,179,187,0
J0010,2,SAMPLE_CLASSIFY,LAB1,214,226,27
J0010,3,UNLOAD,HOP2,226,253,0
J0010,4,WEIGH_OUT,WB2,253,259,0
J0011,1,WEIGH_IN,WB2,185,193,0
J0011,2,SAMPLE_CLASSIFY,LAB1,226,237,33
J0011,3,UNLOAD,HOP2,253,281,16
J0011,4,WEIGH_OUT,WB1,281,287,0
J0012,1,WEIGH_IN,WB2,229,237,0
J0012,2,SAMPLE_CLASSIFY,LAB1,237,249,0
J0012,3,UNLOAD,HOP2,281,307,32
J0012,4,WEIGH_OUT,WB1,307,313,0
J0013,1,WEIGH_IN,WB2,276,284,0
J0013,2,SAMPLE_CLASSIFY,LAB1,284,297,0
J0013,3,UNLOAD,HOP1,353,385,56
J0013,4,WEIGH_OUT,WB1,385,391,0
J0014,1,WEIGH_IN,WB1,287,294,9
J0014,2,SAMPLE_CLASSIFY,LAB1,297,309,3
J0014,3,UNLOAD,HOP2,309,338,0
J0014,4,WEIGH_OUT,WB1,338,344,0
J0015,1,WEIGH_IN,WB2,304,310,0
J0015,2,SAMPLE_CLASSIFY,LAB1,310,327,0
J0015,3,UNLOAD,HOP1,385,419,58
J0015,4,WEIGH_OUT,WB1,419,425,0
J0016,1,WEIGH_IN,WB2,320,330,0
J0016,2,SAMPLE_CLASSIFY,LAB1,330,347,0
J0016,3,UNLOAD,HOP1,419,455,72
J0016,4,WEIGH_OUT,WB1,455,461,0
J0017,1,WEIGH_IN,WB2,452,460,0
J0017,2,SAMPLE_CLASSIFY,LAB1,460,476,0
J0017,3,UNLOAD,HOP1,476,517,0
J0017,4,WEIGH_OUT,WB1,517,524,0
J0018,1,WEIGH_IN,WB1,483,492,0
J0018,2,SAMPLE_CLASSIFY,LAB1,492,510,0
J0018,3,UNLOAD,HOP1,517,553,7
J0018,4,WEIGH_OUT,WB1,553,559,0
J0019,1,WEIGH_IN,WB2,491,499,0
J0019,2,SAMPLE_CLASSIFY,LAB1,510,523,11
J0019,3,UNLOAD,HOP2,523,552,0
J0019,4,WEIGH_OUT,WB2,552,558,0
J0020,1,WEIGH_IN,WB2,517,525,0
J0020,2,SAMPLE_CLASSIFY,LAB1,525,538,0
J0020,3,UNLOAD,HOP1,553,583,15
J0020,4,WEIGH_OUT,WB2,583,589,0
J0021,1,WEIGH_IN,WB1,524,531,5
J0021,2,SAMPLE_CLASSIFY,LAB1,538,549,7
J0021,3,UNLOAD,HOP2,552,576,3
J0021,4,WEIGH_OUT,WB1,576,582,0
J0022,1,WEIGH_IN,WB2,532,539,0
J0022,2,SAMPLE_CLASSIFY,LAB1,549,562,10
J0022,3,UNLOAD,HOP1,583,616,21
J0022,4,WEIGH_OUT,WB1,616,622,0
J0023,1,WEIGH_IN,WB1,533,541,0
J0023,2,SAMPLE_CLASSIFY,LAB1,562,578,21
J0023,3,UNLOAD,HOP1,616,650,38
J0023,4,WEIGH_OUT,WB2,650,656,0
J0024,1,WEIGH_IN,WB1,562,570,0
J0024,2,SAMPLE_CLASSIFY,LAB1,578,594,8
J0024,3,UNLOAD,HOP2,594,625,0
J0024,4,WEIGH_OUT,WB1,625,631,0
