job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB2,52.0,59.0,0.0
J0001,2,SAMPLE_CLASSIFY,LAB1,59.0,74.0,0.0
J0001,3,UNLOAD,HOP2,74.0,102.0,0.0
J0002,1,WEIGH_IN,WB2,89.0,99.0,0.0
J0002,2,SAMPLE_CLASSIFY,LAB2,99.0,108.0,0.0
J0003,1,WEIGH_IN,WB4,100.0,107.0,0.0
J0001,4,WEIGH_OUT,WB1,102.0,108.0,0.0
J0003,2,SAMPLE_CLASSIFY,LAB3,107.0,118.0,0.0
J0002,3,UNLOAD,HOP4,108.0,127.0,0.0
J0004,1,WEIGH_IN,WB2,110.0,121.0,0.0
J0005,1,WEIGH_IN,WB3,116.0,126.0,0.0
J0006,1,WEIGH_IN,WB4,118.0,128.0,0.0
J0004,2,SAMPLE_CLASSIFY,LAB2,121.0,131.0,0.0
J0005,2,SAMPLE_CLASSIFY,LAB1,126.0,138.0,0.0
J0002,4,WEIGH_OUT,WB1,127.0,133.0,0.0
J0003,3,UNLOAD,HOP4,127.0,148.0,9.0
J0006,2,SAMPLE_CLASSIFY,LAB3,128.0,142.0,0.0
J0004,3,UNLOAD,HOP6,131.0,164.0,0.0
J0007,1,WEIGH_IN,WB4,133.0,143.0,0.0
J0008,1,WEIGH_IN,WB3,136.0,147.0,0.0
J0006,3,UNLOAD,HOP2,142.0,174.0,0.0
J0007,2,SAMPLE_CLASSIFY,LAB2,143.0,156.0,0.0
J0010,1,WEIGH_IN,WB4,145.0,156.0,0.0
J0009,1,WEIGH_IN,WB3,147.0,154.0,9.0
J0008,2,SAMPLE_CLASSIFY,LAB1,147.0,158.0,0.0
J0003,4,WEIGH_OUT,WB1,148.0,154.0,0.0
J0005,3,UNLOAD,HOP4,148.0,168.0,10.0
J0009,2,SAMPLE_CLASSIFY,LAB3,154.0,165.0,0.0
J0010,2,SAMPLE_CLASSIFY,LAB2,156.0,168.0,0.0
J0004,4,WEIGH_OUT,WB1,164.0,170.0,0.0
J0007,3,UNLOAD,HOP6,164.0,183.0,8.0
J0009,3,UNLOAD,HOP1,165.0,198.0,0.0
J0005,4,WEIGH_OUT,WB2,168.0,174.0,0.0
J0008,3,UNLOAD,HOP4,168.0,189.0,10.0
J0010,3,UNLOAD,HOP5,168.0,205.0,0.0
J0011,1,WEIGH_IN,WB3,171.0,182.0,0.0
J0006,4,WEIGH_OUT,WB1,174.0,180.0,0.0
J0011,2,SAMPLE_CLASSIFY,LAB1,182.0,192.0,0.0
