job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,89.0,46.0,0.0,0.0
J0002,98.0,46.0,0.0,0.0
J0003,117.0,56.0,6.0,0.0
J0004,112.0,50.0,0.0,0.0
J0005,130.0,67.0,0.0,0.0
J0006,138.0,55.0,6.0,0.0
J0007,188.0,102.0,59.0,0.0
J0008,209.0,123.0,76.0,0.0
J0009,145.0,59.0,0.0,0.0
J0010,303.0,216.0,162.0,0.0
J0011,249.0,162.0,122.0,0.0
J0012,347.0,258.0,214.0,0.0
J0013,390.0,297.0,254.0,0.0
J0014,437.0,343.0,296.0,0.0
J0015,484.0,383.0,336.0,36.0
J0016,525.0,423.0,382.0,82.0
J0017,580.0,473.0,418.0,118.0
J0018,578.0,470.0,425.0,125.0
J0019,711.0,596.0,551.0,251.0
J0020,666.0,551.0,508.0,208.0
J0021,623.0,508.0,463.0,163.0
J0022,199.0,79.0,0.0,0.0
J0023,524.0,401.0,326.0,26.0
J0024,568.0,444.0,365.0,65.0
J0025,244.0,120.0,45.0,0.0
J0026,608.0,479.0,402.0,102.0
J0027,617.0,485.0,418.0,118.0
J0028,635.0,501.0,441.0,141.0
J0029,646.0,508.0,453.0,153.0
J0030,651.0,492.0,421.0,121.0
J0031,666.0,494.0,440.0,140.0
J0032,672.0,499.0,427.0,127.0
J0033,449.0,258.0,180.0,0.0
J0034,684.0,493.0,431.0,131.0
J0035,692.0,488.0,429.0,129.0
J0036,710.0,495.0,422.0,122.0
J0037,553.0,331.0,260.0,0.0
J0038,752.0,524.0,483.0,183.0
J0039,800.0,570.0,527.0,227.0
J0040,757.0,527.0,486.0,186.0
J0041,889.0,656.0,606.0,306.0
J0042,839.0,606.0,567.0,267.0
J0043,936.0,701.0,654.0,354.0
J0044,961.0,725.0,673.0,373.0
J0045,1011.0,772.0,728.0,428.0
J0046,1017.0,778.0,730.0,430.0
J0047,967.0,728.0,681.0,381.0
J0048,1060.0,820.0,777.0,477.0
J0049,1104.0,863.0,819.0,519.0
J0050,1155.0,905.0,854.0,554.0
J0051,1193.0,943.0,905.0,605.0
J0052,1210.0,960.0,921.0,621.0
J0053,1263.0,1005.0,952.0,652.0
J0054,1307.0,1044.0,1000.0,700.0
J0055,1329.0,1065.0,1018.0,718.0
J0056,1401.0,1127.0,1083.0,783.0
J0057,1357.0,1083.0,1033.0,733.0
J0058,1233.0,956.0,890.0,590.0
J0059,1227.0,949.0,904.0,604.0
J0060,1283.0,1000.0,944.0,644.0
J0061,1299.0,1015.0,954.0,654.0
J0062,1316.0,1029.0,964.0,664.0
J0063,1331.0,1043.0,982.0,682.0
J0064,1340.0,1043.0,985.0,685.0
J0065,1342.0,1041.0,982.0,682.0
J0066,1386.0,1081.0,1035.0,735.0
J0067,1406.0,1093.0,1044.0,744.0
J0068,1414.0,1092.0,1030.0,730.0
J0069,1418.0,1071.0,1007.0,707.0
J0070,1422.0,1074.0,1023.0,723.0
J0071,1437.0,1073.0,1001.0,701.0
J0072,1425.0,978.0,929.0,629.0
J0073,1442.0,993.0,942.0,642.0
J0074,1446.0,985.0,926.0,626.0
J0075,1457.0,995.0,928.0,628.0
J0076,1464.0,993.0,938.0,638.0
J0077,1455.0,975.0,922.0,622.0
J0078,1474.0,990.0,941.0,641.0
J0079,1486.0,1002.0,951.0,651.0
J0080,1500.0,1015.0,951.0,651.0
J0081,1513.0,1028.0,976.0,676.0
J0082,1507.0,1013.0,954.0,654.0
J0083,1506.0,1009.0,962.0,662.0
J0084,1537.0,1032.0,977.0,677.0
J0085,1544.0,1025.0,962.0,662.0
J0086,1549.0,1029.0,972.0,672.0
J0087,1557.0,1032.0,983.0,683.0
J0088,1574.0,1034.0,966.0,666.0
J0089,1576.0,1028.0,981.0,681.0
J0090,1584.0,1029.0,963.0,663.0
J0091,1577.0,1020.0,970.0,670.0
J0092,1596.0,1038.0,990.0,690.0
J0093,1614.0,1051.0,987.0,687.0
J0094,1620.0,1043.0,986.0,686.0
J0095,1641.0,1028.0,962.0,662.0
J0096,1627.0,1002.0,952.0,652.0
