job_id,arrival_time_min,arrival_congestion_score,shift_bucket
J0001,25,0.44637345272583623,EARLY
J0002,46,0.8521675006584147,EARLY
J0003,48,0.8995101395838822,EARLY
J0004,48,0.8995101395838822,EARLY
J0005,49,0.9186726362918094,EARLY
J0006,52,0.9693968922833818,EARLY
J0007,54,0.9987042401896237,EARLY
J0008,54,0.9987042401896237,EARLY
J0009,55,0.999,EARLY
J0010,60,0.999,EARLY
J0011,61,0.999,EARLY
J0012,68,0.999,EARLY
J0013,69,0.999,EARLY
J0014,73,0.999,EARLY
J0015,74,0.999,EARLY
J0016,75,0.999,EARLY
J0017,78,0.999,EARLY
J0018,94,0.8893652883855678,EARLY
J0019,95,0.8780932314985518,EARLY
J0020,98,0.8375138267052938,EARLY
J0021,99,0.8217329470634713,EARLY
J0022,102,0.7676270740057942,EARLY
J0023,103,0.7473373716091654,EARLY
J0024,106,0.6797050302870689,EARLY
J0025,106,0.6797050302870689,EARLY
J0026,188,0.34379773505399003,EARLY
J0027,195,0.4272109560179089,EARLY
J0028,203,0.5128785883592311,EARLY
J0029,204,0.5241506452462472,EARLY
J0030,210,0.5838925467474323,EARLY
J0031,212,0.6041822491440613,EARLY
J0032,223,0.7011219383723994,EARLY
J0033,223,0.7011219383723994,EARLY
J0034,230,0.7326836976560444,EARLY
J0035,238,0.7563550171187782,EARLY
J0036,239,0.7586094284961815,EARLY
J0037,246,0.7608638398735845,MID
J0038,251,0.7586094284961814,MID
J0039,260,0.745082960231762,MID
J0040,262,0.7405741374769556,MID
J0041,263,0.7360653147221491,MID
J0042,266,0.7214116407690284,MID
J0043,269,0.7011219383723994,MID
J0044,270,0.6921042928627865,MID
J0045,274,0.653779299446932,MID
J0046,295,0.449755069791941,MID
J0047,296,0.43961021859362664,MID
J0048,304,0.3528153805636029,MID
J0049,319,0.19387937845667635,MID
J0050,376,0.014653673953120795,MID
J0051,426,0.22994996049512775,MID
J0052,447,0.4125572820647881,MID
J0053,450,0.43961021859362664,MID
J0054,454,0.4677903608111668,MID
J0055,460,0.501606531472215,MID
J0056,467,0.5297866736897551,MID
J0057,472,0.5410587305767712,MID
J0058,472,0.5410587305767712,MID
J0059,474,0.5365499078219648,MID
J0060,484,0.4914616802739005,LATE
J0061,503,0.38212272846984474,LATE
J0062,507,0.3505609691861997,LATE
J0063,513,0.2998367131946274,LATE
J0064,523,0.21191466947590198,LATE
