job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,86.0,58.0,0.0,0.0
J0002,94.0,50.0,0.0,0.0
J0003,145.0,42.0,0.0,0.0
J0004,173.0,59.0,2.0,0.0
J0005,200.0,47.0,0.0,0.0
J0006,214.0,60.0,0.0,0.0
J0007,238.0,77.0,11.0,0.0
J0008,230.0,61.0,0.0,0.0
J0009,245.0,59.0,1.0,0.0
J0010,284.0,78.0,24.0,0.0
J0011,343.0,135.0,76.0,0.0
J0012,364.0,154.0,109.0,0.0
J0013,302.0,87.0,36.0,0.0
J0014,322.0,83.0,24.0,0.0
J0015,328.0,85.0,30.0,0.0
J0016,372.0,108.0,58.0,0.0
J0017,381.0,100.0,47.0,0.0
J0018,427.0,143.0,97.0,0.0
J0019,405.0,120.0,67.0,0.0
J0020,408.0,119.0,55.0,0.0
J0021,457.0,153.0,101.0,0.0
J0022,462.0,127.0,77.0,0.0
J0023,487.0,142.0,88.0,0.0
J0024,482.0,120.0,68.0,0.0
J0025,502.0,131.0,80.0,0.0
J0026,550.0,176.0,128.0,0.0
J0027,598.0,210.0,162.0,0.0
J0028,604.0,207.0,155.0,0.0
J0029,609.0,212.0,164.0,0.0
J0030,544.0,126.0,73.0,0.0
J0031,585.0,154.0,86.0,0.0
J0032,622.0,184.0,132.0,0.0
J0033,601.0,162.0,89.0,0.0
J0034,652.0,182.0,131.0,0.0
J0035,657.0,184.0,135.0,0.0
J0036,673.0,200.0,157.0,0.0
J0037,720.0,232.0,185.0,0.0
J0038,726.0,227.0,175.0,0.0
J0039,778.0,277.0,225.0,0.0
J0040,824.0,322.0,276.0,0.0
J0041,875.0,367.0,316.0,16.0
J0042,880.0,370.0,321.0,21.0
J0043,744.0,207.0,155.0,0.0
J0044,765.0,223.0,175.0,0.0
J0045,731.0,188.0,127.0,0.0
J0046,786.0,202.0,151.0,0.0
J0047,820.0,173.0,110.0,0.0
J0048,818.0,171.0,109.0,0.0
