job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB2,28.0,35.0,0.0
J0001,2,SAMPLE_CLASSIFY,LAB1,35.0,50.0,0.0
J0002,1,WEIGH_IN,WB2,44.0,55.0,0.0
J0001,3,UNLOAD,HOP1,50.0,80.0,0.0
J0002,2,SAMPLE_CLASSIFY,LAB1,55.0,66.0,0.0
J0002,3,UNLOAD,HOP4,66.0,88.0,0.0
J0001,4,WEIGH_OUT,WB1,80.0,86.0,0.0
J0002,4,WEIGH_OUT,WB1,88.0,94.0,0.0
J0003,1,WEIGH_IN,WB1,103.0,110.0,0.0
J0003,2,SAMPLE_CLASSIFY,LAB1,110.0,120.0,0.0
J0004,1,WEIGH_IN,WB2,114.0,124.0,0.0
J0003,3,UNLOAD,HOP1,120.0,139.0,0.0
J0004,2,SAMPLE_CLASSIFY,LAB1,124.0,137.0,0.0
J0003,4,WEIGH_OUT,WB1,139.0,145.0,0.0
J0004,3,UNLOAD,HOP1,139.0,167.0,2.0
J0005,1,WEIGH_IN,WB2,153.0,163.0,0.0
J0006,1,WEIGH_IN,WB3,154.0,165.0,0.0
J0005,2,SAMPLE_CLASSIFY,LAB2,163.0,174.0,0.0
J0007,1,WEIGH_IN,WB2,163.0,177.0,2.0
J0006,2,SAMPLE_CLASSIFY,LAB1,165.0,174.0,0.0
J0004,4,WEIGH_OUT,WB1,167.0,173.0,0.0
J0008,1,WEIGH_IN,WB3,169.0,179.0,0.0
J0005,3,UNLOAD,HOP4,174.0,195.0,0.0
J0006,3,UNLOAD,HOP1,174.0,208.0,0.0
J0007,2,SAMPLE_CLASSIFY,LAB1,177.0,186.0,0.0
J0008,2,SAMPLE_CLASSIFY,LAB2,179.0,196.0,0.0
J0009,1,WEIGH_IN,WB3,186.0,196.0,0.0
J0005,4,WEIGH_OUT,WB1,195.0,200.0,0.0
J0007,3,UNLOAD,HOP4,195.0,232.0,9.0
J0009,2,SAMPLE_CLASSIFY,LAB1,196.0,207.0,0.0
J0008,3,UNLOAD,HOP2,196.0,224.0,0.0
J0006,4,WEIGH_OUT,WB1,208.0,214.0,0.0
J0009,3,UNLOAD,HOP1,208.0,240.0,1.0
J0012,1,WEIGH_IN,WB3,210.0,217.0,0.0
J0013,1,WEIGH_IN,WB3,217.0,228.0,2.0
J0008,4,WEIGH_OUT,WB2,224.0,230.0,0.0
J0010,1,WEIGH_IN,WB2,230.0,237.0,24.0
J0007,4,WEIGH_OUT,WB1,232.0,238.0,0.0
J0010,2,SAMPLE_CLASSIFY,LAB1,237.0,251.0,0.0
J0014,1,WEIGH_IN,WB3,239.0,249.0,0.0
J0009,4,WEIGH_OUT,WB1,240.0,245.0,0.0
J0015,1,WEIGH_IN,WB3,249.0,260.0,6.0
J0012,2,SAMPLE_CLASSIFY,LAB1,251.0,262.0,34.0
J0010,3,UNLOAD,HOP4,251.0,278.0,0.0
J0013,2,SAMPLE_CLASSIFY,LAB1,262.0,273.0,34.0
J0014,2,SAMPLE_CLASSIFY,LAB1,273.0,284.0,24.0
J0013,3,UNLOAD,HOP2,273.0,296.0,0.0
J0010,4,WEIGH_OUT,WB1,278.0,284.0,0.0
