job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,41,28,0,REGULAR,1.0,1,WET,300,352,1.6468,EARLY,0.11074181117533712
J0002,SOY,37,44,0,REGULAR,1.0,1,DRY,300,350,1.4862,EARLY,0.1132586705202312
J0003,CORN,35,103,0,REGULAR,1.0,1,DRY,300,409,1.4058,EARLY,0.1786970134874759
J0004,SOY,39,114,0,CONTRACTED,1.25,1,WET,300,400,1.5665,EARLY,0.27182080924855495
J0005,CORN,34,153,3,REGULAR,1.0,1,NORMAL,300,455,1.3657,EARLY,0.5738439306358382
J0006,CORN,42,154,154,REGULAR,1.0,0,DRY,300,467,1.687,EARLY,0.5839113680154142
J0007,CORN,44,161,161,REGULAR,1.0,0,DRY,300,465,1.7673,EARLY,0.6342485549132948
J0008,SOY,40,169,3,REGULAR,1.0,1,WET,300,483,1.6067,EARLY,0.6694845857418112
J0009,CORN,34,186,0,CONTRACTED,1.25,1,NORMAL,300,448,1.3657,EARLY,0.7248554913294797
J0010,CORN,38,206,206,REGULAR,1.0,0,WET,300,536,1.5263,EARLY,0.7802263969171482
J0011,SOY,40,208,170,CONTRACTED,1.25,1,WET,300,506,1.6067,EARLY,0.7802263969171482
J0012,SORGHUM,36,210,210,REGULAR,1.0,0,NORMAL,300,518,1.446,EARLY,0.7701589595375722
J0013,SOY,40,215,57,REGULAR,1.0,1,DRY,300,522,1.6067,EARLY,0.7273723506743737
J0014,SORGHUM,31,239,69,REGULAR,1.0,1,NORMAL,300,521,1.2452,EARLY,0.6996868978805394
J0015,SOY,40,243,21,REGULAR,1.0,1,NORMAL,300,544,1.6067,MID,0.6996868978805394
J0016,CORN,42,264,264,REGULAR,1.0,0,NORMAL,300,558,1.687,MID,0.6896194605009633
J0017,SOY,41,281,75,REGULAR,1.0,1,NORMAL,300,569,1.6468,MID,0.7324060693641617
J0018,SORGHUM,38,284,198,REGULAR,1.0,1,NORMAL,300,566,1.5263,MID,0.7399566473988439
J0019,SOY,39,285,285,REGULAR,1.0,0,DRY,300,605,1.5665,MID,0.7374397880539498
J0020,SOY,38,289,289,REGULAR,1.0,0,NORMAL,300,599,1.5263,MID,0.7173049132947976
J0021,SOY,38,304,304,REGULAR,1.0,0,NORMAL,300,615,1.5263,MID,0.5864282273603082
J0022,CORN,39,335,157,REGULAR,1.0,1,DRY,300,631,1.5665,MID,0.5109224470134874
J0023,CORN,43,345,337,URGENT,1.75,1,NORMAL,300,561,1.7272,MID,0.5386078998073216
J0024,SOY,35,362,200,REGULAR,1.0,1,NORMAL,300,663,1.4058,MID,0.6669677263969169
J0025,SOY,39,371,371,REGULAR,1.0,0,NORMAL,300,665,1.5665,MID,0.7298892100192677
J0026,CORN,37,374,374,REGULAR,1.0,0,NORMAL,300,671,1.4862,MID,0.744990366088632
J0027,CORN,42,388,387,URGENT,1.75,1,NORMAL,300,611,1.687,MID,0.7928106936416184
J0028,CORN,43,397,343,REGULAR,1.0,1,NORMAL,300,681,1.7272,MID,0.7978444123314065
J0029,CORN,37,397,349,REGULAR,1.0,1,NORMAL,300,676,1.4862,MID,0.7978444123314065
J0030,SORGHUM,32,418,418,REGULAR,1.0,0,NORMAL,300,737,1.2853,MID,0.7173049132947976
J0031,SORGHUM,37,431,431,REGULAR,1.0,0,WET,300,754,1.4862,MID,0.7147880539499036
J0032,SORGHUM,37,438,438,REGULAR,1.0,0,NORMAL,300,743,1.4862,MID,0.7248554913294797
J0033,SOY,36,439,439,CONTRACTED,1.25,0,WET,300,727,1.446,MID,0.7223386319845857
J0034,SORGHUM,30,470,400,REGULAR,1.0,1,WET,300,806,1.205,MID,0.936271676300578
J0035,CORN,39,473,381,REGULAR,1.0,1,NORMAL,300,757,1.5665,MID,0.9589234104046241
J0036,SORGHUM,31,473,414,REGULAR,1.0,1,NORMAL,300,776,1.2452,MID,0.9589234104046241
J0037,SOY,37,488,414,REGULAR,1.0,1,NORMAL,300,758,1.4862,LATE,0.999
J0038,SOY,41,499,399,REGULAR,1.0,1,NORMAL,300,786,1.6468,LATE,0.999
J0039,SOY,41,501,456,REGULAR,1.0,1,NORMAL,300,792,1.6468,LATE,0.999
J0040,CORN,40,502,418,REGULAR,1.0,1,DRY,300,765,1.6067,LATE,0.999
J0041,CORN,44,508,450,REGULAR,1.0,1,NORMAL,300,775,1.7673,LATE,0.999
J0042,SORGHUM,32,510,484,REGULAR,1.0,1,NORMAL,300,781,1.2853,LATE,0.999
J0043,SOY,41,537,297,REGULAR,1.0,1,NORMAL,300,823,1.6468,LATE,0.6745183044315992
J0044,SOY,35,542,531,URGENT,1.75,1,NORMAL,300,765,1.4058,LATE,0.6241811175337185
J0045,SORGHUM,35,543,369,REGULAR,1.0,1,NORMAL,300,802,1.4058,LATE,0.6090799614643545
J0046,SOY,39,584,370,REGULAR,1.0,1,DRY,300,851,1.5665,LATE,0.12584296724470126
J0047,SORGHUM,38,647,647,REGULAR,1.0,0,DRY,300,915,1.5263,LATE,0.15101156069364158
J0048,SOY,36,647,455,CONTRACTED,1.25,1,NORMAL,300,896,1.446,LATE,0.15101156069364158
