job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB2,39.0,46.0,0.0
J0002,1,WEIGH_IN,WB2,46.0,57.0,5.0
J0001,2,SAMPLE_CLASSIFY,LAB1,46.0,59.0,0.0
J0003,1,WEIGH_IN,WB2,57.0,64.0,9.0
J0002,2,SAMPLE_CLASSIFY,LAB2,57.0,74.0,0.0
J0001,3,UNLOAD,HOP1,59.0,86.0,0.0
J0003,2,SAMPLE_CLASSIFY,LAB1,64.0,75.0,0.0
J0002,3,UNLOAD,HOP3,74.0,111.0,0.0
J0003,3,UNLOAD,HOP2,75.0,123.0,0.0
J0001,4,WEIGH_OUT,WB1,86.0,92.0,0.0
J0015,1,WEIGH_IN,WB2,95.0,103.0,0.0
J0015,2,SAMPLE_CLASSIFY,LAB2,103.0,123.0,0.0
J0002,4,WEIGH_OUT,WB1,111.0,117.0,0.0
J0003,4,WEIGH_OUT,WB1,123.0,129.0,0.0
J0004,1,WEIGH_IN,WB1,129.0,137.0,75.0
J0004,2,SAMPLE_CLASSIFY,LAB1,137.0,151.0,0.0
J0004,3,UNLOAD,HOP3,151.0,184.0,0.0
J0004,4,WEIGH_OUT,WB1,184.0,190.0,0.0
J0005,1,WEIGH_IN,WB1,190.0,197.0,121.0
J0005,2,SAMPLE_CLASSIFY,LAB1,197.0,208.0,0.0
J0005,3,UNLOAD,HOP1,242.0,265.0,34.0
J0005,4,WEIGH_OUT,WB1,265.0,271.0,0.0
J0006,1,WEIGH_IN,WB1,271.0,279.0,201.0
J0006,2,SAMPLE_CLASSIFY,LAB1,279.0,289.0,0.0
J0006,3,UNLOAD,HOP2,289.0,317.0,0.0
J0006,4,WEIGH_OUT,WB1,317.0,323.0,0.0
J0007,1,WEIGH_IN,WB1,323.0,330.0,252.0
J0007,2,SAMPLE_CLASSIFY,LAB1,330.0,344.0,0.0
J0007,3,UNLOAD,HOP3,344.0,375.0,0.0
J0007,4,WEIGH_OUT,WB1,407.0,413.0,32.0
J0008,1,WEIGH_IN,WB1,413.0,419.0,339.0
J0008,2,SAMPLE_CLASSIFY,LAB1,419.0,434.0,0.0
J0008,3,UNLOAD,HOP3,434.0,460.0,0.0
J0008,4,WEIGH_OUT,WB1,460.0,466.0,0.0
J0009,1,WEIGH_IN,WB1,466.0,473.0,386.0
J0009,2,SAMPLE_CLASSIFY,LAB1,473.0,484.0,0.0
J0009,3,UNLOAD,HOP1,484.0,508.0,0.0
J0009,4,WEIGH_OUT,WB1,508.0,514.0,0.0
J0010,1,WEIGH_IN,WB1,514.0,522.0,432.0
J0010,2,SAMPLE_CLASSIFY,LAB1,522.0,534.0,0.0
J0010,3,UNLOAD,HOP1,534.0,558.0,0.0
J0010,4,WEIGH_OUT,WB1,558.0,564.0,0.0
J0012,1,WEIGH_IN,WB1,564.0,571.0,475.0
J0012,2,SAMPLE_CLASSIFY,LAB1,571.0,583.0,0.0
J0012,3,UNLOAD,HOP1,583.0,610.0,0.0
J0012,4,WEIGH_OUT,WB1,610.0,616.0,0.0
J0011,1,WEIGH_IN,WB1,616.0,624.0,527.0
J0011,2,SAMPLE_CLASSIFY,LAB1,624.0,639.0,0.0
J0011,3,UNLOAD,HOP1,639.0,670.0,0.0
J0011,4,WEIGH_OUT,WB1,670.0,676.0,0.0
J0013,1,WEIGH_IN,WB1,676.0,683.0,585.0
J0013,2,SAMPLE_CLASSIFY,LAB1,683.0,698.0,0.0
J0013,3,UNLOAD,HOP1,698.0,723.0,0.0
J0013,4,WEIGH_OUT,WB1,723.0,729.0,0.0
J0014,1,WEIGH_IN,WB1,729.0,736.0,637.0
J0014,2,SAMPLE_CLASSIFY,LAB1,736.0,753.0,0.0
J0014,3,UNLOAD,HOP1,753.0,783.0,0.0
J0014,4,WEIGH_OUT,WB1,783.0,789.0,0.0
J0015,3,UNLOAD,HOP1,783.0,815.0,660.0
J0016,1,WEIGH_IN,WB1,789.0,796.0,690.0
J0016,2,SAMPLE_CLASSIFY,LAB1,796.0,809.0,0.0
J0015,4,WEIGH_OUT,WB2,815.0,821.0,0.0
J0016,3,UNLOAD,HOP1,815.0,840.0,6.0
J0017,1,WEIGH_IN,WB2,821.0,828.0,715.0
J0017,2,SAMPLE_CLASSIFY,LAB2,828.0,840.0,0.0
J0018,1,WEIGH_IN,WB2,828.0,842.0,693.0
J0016,4,WEIGH_OUT,WB1,840.0,846.0,0.0
J0017,3,UNLOAD,HOP3,840.0,867.0,0.0
J0019,1,WEIGH_IN,WB2,842.0,853.0,639.0
J0018,2,SAMPLE_CLASSIFY,LAB1,842.0,855.0,0.0
J0020,1,WEIGH_IN,WB2,853.0,860.0,648.0
J0019,2,SAMPLE_CLASSIFY,LAB1,855.0,867.0,2.0
J0018,3,UNLOAD,HOP1,855.0,882.0,0.0
J0020,2,SAMPLE_CLASSIFY,LAB2,860.0,879.0,0.0
J0017,4,WEIGH_OUT,WB1,867.0,873.0,0.0
J0019,3,UNLOAD,HOP2,867.0,912.0,0.0
J0018,4,WEIGH_OUT,WB1,882.0,888.0,0.0
J0020,3,UNLOAD,HOP1,882.0,908.0,3.0
J0020,4,WEIGH_OUT,WB2,908.0,914.0,0.0
J0019,4,WEIGH_OUT,WB1,912.0,918.0,0.0
J0021,1,WEIGH_IN,WB2,914.0,922.0,686.0
J0022,1,WEIGH_IN,WB1,918.0,931.0,680.0
