job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,37,39,29,URGENT,1.75,1,NORMAL,300,299,1.4862,EARLY,0.5259316655597374
J0002,SOY,37,41,0,REGULAR,1.0,1,NORMAL,300,363,1.4862,EARLY,0.5691166703564313
J0003,SORGHUM,37,48,0,REGULAR,1.0,1,NORMAL,300,377,1.4862,EARLY,0.7017563279462772
J0004,SORGHUM,36,54,51,URGENT,1.75,1,WET,300,347,1.446,EARLY,0.8035495535384843
J0005,CORN,36,69,39,CONTRACTED,1.25,1,NORMAL,300,313,1.446,EARLY,0.999
J0006,SORGHUM,37,70,64,URGENT,1.75,1,NORMAL,300,369,1.4862,EARLY,0.999
J0007,SORGHUM,34,71,67,URGENT,1.75,1,WET,300,355,1.3657,EARLY,0.999
J0008,SORGHUM,32,74,70,URGENT,1.75,1,WET,300,343,1.2853,EARLY,0.999
J0009,CORN,39,80,52,REGULAR,1.0,1,DRY,300,412,1.5665,EARLY,0.999
J0010,CORN,35,82,82,REGULAR,1.0,0,NORMAL,300,422,1.4058,EARLY,0.999
J0011,SOY,36,89,83,URGENT,1.75,1,WET,300,378,1.446,EARLY,0.999
J0012,SOY,41,89,58,CONTRACTED,1.25,1,NORMAL,300,375,1.6468,EARLY,0.999
J0013,SOY,38,91,90,URGENT,1.75,1,NORMAL,300,381,1.5263,EARLY,0.999
J0014,SOY,38,92,52,REGULAR,1.0,1,WET,300,425,1.5263,EARLY,0.999
J0015,SOY,39,95,95,REGULAR,1.0,0,WET,300,422,1.5665,EARLY,0.9624086783263229
J0016,SOY,41,99,56,REGULAR,1.0,1,NORMAL,300,435,1.6468,EARLY,0.8883772415319903
J0017,SORGHUM,36,106,101,URGENT,1.75,1,NORMAL,300,378,1.446,EARLY,0.7557375839421445
J0018,SOY,41,135,70,REGULAR,1.0,1,NORMAL,300,520,1.6468,EARLY,0.2282635967825253
J0019,CORN,45,203,203,REGULAR,1.0,0,NORMAL,300,534,1.8075,EARLY,0.27916020957862886
J0020,CORN,34,205,191,URGENT,1.75,1,WET,300,482,1.3657,EARLY,0.30075271197697584
J0021,CORN,38,228,228,REGULAR,1.0,0,NORMAL,300,563,1.5263,EARLY,0.5351855951590289
J0022,SOY,40,238,67,REGULAR,1.0,1,NORMAL,300,560,1.6067,EARLY,0.6431481071507639
J0023,CORN,41,242,182,CONTRACTED,1.25,1,DRY,300,493,1.6468,MID,0.6739945391484023
J0024,SORGHUM,35,245,245,CONTRACTED,1.25,0,NORMAL,300,546,1.4058,MID,0.6878754335473397
J0025,CORN,41,254,254,CONTRACTED,1.25,0,NORMAL,300,544,1.6468,MID,0.7156372223452144
J0026,CORN,42,255,246,URGENT,1.75,1,NORMAL,300,496,1.687,MID,0.7156372223452144
J0027,SOY,36,256,256,CONTRACTED,1.25,0,WET,300,563,1.446,MID,0.7125525791454506
J0028,CORN,41,271,271,REGULAR,1.0,0,WET,300,597,1.6468,MID,0.641605785550882
J0029,SOY,38,277,182,REGULAR,1.0,1,NORMAL,300,582,1.5263,MID,0.6045900671537155
J0030,SOY,39,280,214,REGULAR,1.0,1,WET,300,590,1.5665,MID,0.5768282783558409
J0031,SORGHUM,36,287,174,REGULAR,1.0,1,NORMAL,300,586,1.446,MID,0.5074238063611541
J0032,SOY,36,305,83,REGULAR,1.0,1,NORMAL,300,625,1.446,MID,0.32851450077485056
J0033,CORN,43,341,180,CONTRACTED,1.25,1,NORMAL,300,618,1.7272,MID,0.1943325215851228
J0034,CORN,41,342,342,CONTRACTED,1.25,0,WET,300,656,1.6468,MID,0.19279019998524097
J0035,SOY,37,364,208,REGULAR,1.0,1,WET,300,680,1.4862,MID,0.11721644159102644
J0036,CORN,38,440,244,REGULAR,1.0,1,NORMAL,300,757,1.5263,MID,0.21129805918382405
J0037,SORGHUM,36,448,448,URGENT,1.75,0,NORMAL,300,702,1.446,MID,0.2359752047819349
J0038,CORN,45,452,452,REGULAR,1.0,0,WET,300,799,1.8075,MID,0.24214449118146256
J0039,CORN,34,463,456,URGENT,1.75,1,WET,300,728,1.3657,MID,0.22517895358276144
J0040,SOY,41,508,508,REGULAR,1.0,0,DRY,300,819,1.6468,LATE,0.029304110397756582
