job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,91.0,66.0,0.0,0.0
J0002,78.0,53.0,0.0,0.0
J0003,117.0,86.0,18.0,0.0
J0004,118.0,65.0,7.0,0.0
J0005,171.0,112.0,58.0,0.0
J0006,200.0,123.0,64.0,0.0
J0007,250.0,171.0,121.0,0.0
J0008,178.0,99.0,51.0,0.0
J0009,278.0,190.0,136.0,0.0
J0010,316.0,225.0,175.0,0.0
J0011,328.0,231.0,160.0,0.0
J0012,341.0,148.0,91.0,0.0
J0013,371.0,169.0,92.0,0.0
J0014,377.0,171.0,92.0,0.0
J0015,383.0,175.0,108.0,0.0
J0016,436.0,215.0,162.0,0.0
J0017,489.0,250.0,197.0,0.0
J0018,552.0,310.0,247.0,0.0
J0019,514.0,271.0,220.0,0.0
J0020,579.0,321.0,269.0,0.0
J0021,634.0,374.0,319.0,19.0
J0022,687.0,425.0,372.0,72.0
J0023,743.0,481.0,425.0,125.0
J0024,776.0,511.0,447.0,147.0
J0025,827.0,561.0,510.0,210.0
J0026,859.0,583.0,522.0,222.0
J0027,887.0,592.0,535.0,235.0
J0028,894.0,595.0,536.0,236.0
J0029,909.0,599.0,552.0,252.0
J0030,924.0,604.0,546.0,246.0
J0031,934.0,501.0,451.0,151.0
J0032,950.0,517.0,461.0,161.0
J0033,975.0,535.0,466.0,166.0
J0034,962.0,509.0,436.0,136.0
J0035,1025.0,558.0,495.0,195.0
J0036,1032.0,558.0,499.0,199.0
J0037,1057.0,574.0,515.0,215.0
J0038,1055.0,563.0,506.0,206.0
J0039,1111.0,616.0,562.0,262.0
J0040,1116.0,619.0,558.0,258.0
