job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,108.0,55.0,0.0,0.0
J0002,136.0,75.0,23.0,0.0
J0003,148.0,67.0,0.0,0.0
J0004,200.0,111.0,47.0,0.0
J0005,220.0,110.0,41.0,0.0
J0006,254.0,55.0,0.0,0.0
J0007,285.0,63.0,0.0,0.0
J0008,361.0,109.0,47.0,0.0
J0009,393.0,130.0,66.0,0.0
J0010,423.0,132.0,77.0,0.0
J0011,550.0,255.0,186.0,0.0
J0012,481.0,186.0,128.0,0.0
J0013,580.0,284.0,224.0,0.0
J0014,631.0,331.0,280.0,0.0
J0015,683.0,381.0,329.0,29.0
J0016,735.0,429.0,377.0,77.0
J0017,765.0,306.0,232.0,0.0
J0018,792.0,301.0,244.0,0.0
J0019,826.0,326.0,265.0,0.0
J0020,859.0,355.0,291.0,0.0
J0021,917.0,412.0,354.0,54.0
J0022,943.0,418.0,342.0,42.0
J0023,946.0,418.0,363.0,63.0
J0024,999.0,433.0,380.0,80.0
