job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,53.0,61.0,0.0
J0002,1,WEIGH_IN,WB2,61.0,68.0,0.0
J0001,2,SAMPLE_CLASSIFY,LAB1,61.0,74.0,0.0
J0002,2,SAMPLE_CLASSIFY,LAB1,74.0,85.0,6.0
J0001,3,UNLOAD,HOP1,74.0,102.0,0.0
J0003,1,WEIGH_IN,WB2,81.0,88.0,0.0
J0003,2,SAMPLE_CLASSIFY,LAB1,88.0,101.0,0.0
J0003,3,UNLOAD,HOP2,101.0,142.0,0.0
J0001,4,WEIGH_OUT,WB1,102.0,108.0,0.0
J0002,3,UNLOAD,HOP1,102.0,130.0,17.0
J0002,4,WEIGH_OUT,WB1,130.0,136.0,0.0
J0004,1,WEIGH_IN,WB1,136.0,147.0,47.0
J0003,4,WEIGH_OUT,WB2,142.0,148.0,0.0
J0004,2,SAMPLE_CLASSIFY,LAB1,147.0,161.0,0.0
J0005,1,WEIGH_IN,WB2,148.0,158.0,38.0
J0005,2,SAMPLE_CLASSIFY,LAB1,161.0,174.0,3.0
J0004,3,UNLOAD,HOP1,161.0,194.0,0.0
J0005,3,UNLOAD,HOP2,174.0,214.0,0.0
J0004,4,WEIGH_OUT,WB1,194.0,200.0,0.0
J0006,1,WEIGH_IN,WB2,199.0,210.0,0.0
J0006,2,SAMPLE_CLASSIFY,LAB1,210.0,219.0,0.0
J0005,4,WEIGH_OUT,WB1,214.0,220.0,0.0
J0006,3,UNLOAD,HOP2,219.0,248.0,0.0
J0007,1,WEIGH_IN,WB2,222.0,233.0,0.0
J0007,2,SAMPLE_CLASSIFY,LAB1,233.0,247.0,0.0
J0007,3,UNLOAD,HOP1,247.0,279.0,0.0
J0006,4,WEIGH_OUT,WB1,248.0,254.0,0.0
J0008,1,WEIGH_IN,WB2,252.0,260.0,0.0
J0008,2,SAMPLE_CLASSIFY,LAB1,260.0,274.0,0.0
J0009,1,WEIGH_IN,WB2,263.0,276.0,0.0
J0009,2,SAMPLE_CLASSIFY,LAB1,276.0,289.0,0.0
J0007,4,WEIGH_OUT,WB1,279.0,285.0,0.0
J0010,1,WEIGH_IN,WB2,291.0,298.0,0.0
J0013,1,WEIGH_IN,WB2,298.0,306.0,2.0
J0010,2,SAMPLE_CLASSIFY,LAB1,298.0,310.0,0.0
J0008,3,UNLOAD,HOP1,321.0,355.0,47.0
J0008,4,WEIGH_OUT,WB1,355.0,361.0,0.0
J0009,3,UNLOAD,HOP1,355.0,387.0,66.0
J0009,4,WEIGH_OUT,WB1,387.0,393.0,0.0
J0010,3,UNLOAD,HOP1,387.0,417.0,77.0
J0010,4,WEIGH_OUT,WB1,417.0,423.0,0.0
J0012,1,WEIGH_IN,WB1,423.0,431.0,128.0
J0012,2,SAMPLE_CLASSIFY,LAB1,431.0,444.0,0.0
J0012,3,UNLOAD,HOP1,444.0,475.0,0.0
J0017,1,WEIGH_IN,WB2,459.0,467.0,0.0
J0012,4,WEIGH_OUT,WB1,475.0,481.0,0.0
J0011,1,WEIGH_IN,WB1,481.0,489.0,186.0
J0011,2,SAMPLE_CLASSIFY,LAB1,489.0,504.0,0.0
J0013,2,SAMPLE_CLASSIFY,LAB1,504.0,519.0,198.0
J0011,3,UNLOAD,HOP1,504.0,543.0,0.0
J0011,4,WEIGH_OUT,WB1,543.0,550.0,0.0
J0013,3,UNLOAD,HOP1,543.0,574.0,24.0
J0013,4,WEIGH_OUT,WB1,574.0,580.0,0.0
J0014,1,WEIGH_IN,WB1,580.0,587.0,280.0
J0014,2,SAMPLE_CLASSIFY,LAB1,587.0,596.0,0.0
J0014,3,UNLOAD,HOP2,596.0,625.0,0.0
J0014,4,WEIGH_OUT,WB1,625.0,631.0,0.0
J0015,1,WEIGH_IN,WB1,631.0,638.0,329.0
J0015,2,SAMPLE_CLASSIFY,LAB1,638.0,649.0,0.0
J0015,3,UNLOAD,HOP2,649.0,677.0,0.0
J0015,4,WEIGH_OUT,WB1,677.0,683.0,0.0
J0016,1,WEIGH_IN,WB1,683.0,690.0,377.0
J0016,2,SAMPLE_CLASSIFY,LAB1,690.0,699.0,0.0
J0017,2,SAMPLE_CLASSIFY,LAB1,699.0,711.0,232.0
J0016,3,UNLOAD,HOP1,699.0,729.0,0.0
J0017,3,UNLOAD,HOP2,711.0,759.0,0.0
J0016,4,WEIGH_OUT,WB1,729.0,735.0,0.0
J0018,1,WEIGH_IN,WB1,735.0,743.0,244.0
J0018,2,SAMPLE_CLASSIFY,LAB1,743.0,754.0,0.0
J0018,3,UNLOAD,HOP1,754.0,786.0,0.0
J0017,4,WEIGH_OUT,WB2,759.0,765.0,0.0
J0019,1,WEIGH_IN,WB2,765.0,776.0,265.0
J0020,1,WEIGH_IN,WB2,776.0,783.0,272.0
J0019,2,SAMPLE_CLASSIFY,LAB1,776.0,788.0,0.0
J0022,1,WEIGH_IN,WB2,783.0,794.0,258.0
J0018,4,WEIGH_OUT,WB1,786.0,792.0,0.0
J0020,2,SAMPLE_CLASSIFY,LAB1,788.0,805.0,5.0
J0019,3,UNLOAD,HOP1,788.0,819.0,0.0
J0023,1,WEIGH_IN,WB2,794.0,801.0,266.0
J0019,4,WEIGH_OUT,WB1,819.0,826.0,0.0
J0020,3,UNLOAD,HOP1,819.0,853.0,14.0
J0020,4,WEIGH_OUT,WB1,853.0,859.0,0.0
J0021,1,WEIGH_IN,WB1,859.0,866.0,354.0
J0021,2,SAMPLE_CLASSIFY,LAB1,866.0,878.0,0.0
J0022,2,SAMPLE_CLASSIFY,LAB1,878.0,889.0,84.0
J0021,3,UNLOAD,HOP1,878.0,911.0,0.0
J0023,2,SAMPLE_CLASSIFY,LAB1,889.0,902.0,88.0
J0022,3,UNLOAD,HOP2,889.0,937.0,0.0
J0021,4,WEIGH_OUT,WB1,911.0,917.0,0.0
J0023,3,UNLOAD,HOP1,911.0,940.0,9.0
J0022,4,WEIGH_OUT,WB1,937.0,943.0,0.0
J0023,4,WEIGH_OUT,WB2,940.0,946.0,0.0
J0024,1,WEIGH_IN,WB2,946.0,953.0,380.0
J0024,2,SAMPLE_CLASSIFY,LAB1,953.0,966.0,0.0
J0024,3,UNLOAD,HOP1,966.0,993.0,0.0
J0024,4,WEIGH_OUT,WB1,993.0,999.0,0.0
