job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,37,9,9,REGULAR,1.0,0,NORMAL,300,347,1.4862,EARLY,0.3002551020408164
J0002,CORN,34,14,0,REGULAR,1.0,1,DRY,300,313,1.3657,EARLY,0.34574829931972795
J0003,CORN,42,63,63,REGULAR,1.0,0,WET,300,398,1.687,EARLY,0.8052295918367349
J0004,CORN,39,64,64,REGULAR,1.0,0,NORMAL,300,387,1.5665,EARLY,0.809778911564626
J0005,SOY,41,78,1,REGULAR,1.0,1,NORMAL,300,362,1.6468,EARLY,0.8052295918367349
J0006,CORN,44,80,0,REGULAR,1.0,1,WET,300,383,1.7673,EARLY,0.7961309523809526
J0007,CORN,37,110,0,REGULAR,1.0,1,WET,300,402,1.4862,EARLY,0.42308673469387764
J0008,SOY,40,162,162,REGULAR,1.0,0,NORMAL,300,484,1.6067,EARLY,0.03639455782312918
J0009,SORGHUM,31,232,232,REGULAR,1.0,0,NORMAL,300,549,1.2452,EARLY,0.6414540816326533
J0010,SOY,39,242,205,CONTRACTED,1.25,1,NORMAL,300,515,1.5665,MID,0.8598214285714286
J0011,CORN,41,246,245,URGENT,1.75,1,NORMAL,300,459,1.6468,MID,0.9144132653061225
J0012,SORGHUM,34,267,202,REGULAR,1.0,1,WET,300,573,1.3657,MID,0.999
J0013,SORGHUM,38,275,275,REGULAR,1.0,0,DRY,300,584,1.5263,MID,0.9735544217687077
J0014,SOY,40,289,289,REGULAR,1.0,0,WET,300,598,1.6067,MID,0.782482993197279
J0015,SORGHUM,32,294,287,URGENT,1.75,1,DRY,300,552,1.2853,MID,0.6778486394557824
J0016,CORN,44,423,423,REGULAR,1.0,0,NORMAL,300,737,1.7673,MID,0.0864370748299319
J0017,CORN,43,469,457,URGENT,1.75,1,NORMAL,300,709,1.7272,MID,0.4185374149659864
J0018,SOY,37,478,352,REGULAR,1.0,1,WET,300,802,1.4862,MID,0.5322704081632654
J0019,SOY,37,516,516,REGULAR,1.0,0,WET,300,819,1.4862,LATE,0.999
J0020,CORN,45,522,522,REGULAR,1.0,0,DRY,300,825,1.8075,LATE,0.999
J0021,SOY,40,522,440,REGULAR,1.0,1,WET,300,798,1.6067,LATE,0.999
J0022,CORN,34,531,525,URGENT,1.75,1,WET,300,717,1.3657,LATE,0.999
J0023,CORN,35,557,557,REGULAR,1.0,0,DRY,300,842,1.4058,LATE,0.7369897959183674
J0024,SOY,41,558,558,REGULAR,1.0,0,NORMAL,300,853,1.6468,LATE,0.7187925170068029
