job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,108.0,56.0,0.0,0.0
J0002,130.0,41.0,0.0,0.0
J0003,148.0,48.0,0.0,0.0
J0004,158.0,48.0,0.0,0.0
J0005,167.0,51.0,0.0,0.0
J0006,168.0,50.0,0.0,0.0
J0007,181.0,48.0,0.0,0.0
J0008,182.0,46.0,0.0,0.0
J0009,195.0,57.0,2.0,0.0
J0010,198.0,53.0,0.0,0.0
J0011,217.0,46.0,0.0,0.0
J0012,232.0,50.0,0.0,0.0
J0013,245.0,46.0,0.0,0.0
J0014,258.0,56.0,3.0,0.0
J0015,261.0,47.0,0.0,0.0
J0016,276.0,51.0,0.0,0.0
J0017,279.0,47.0,1.0,0.0
J0018,291.0,49.0,0.0,0.0
J0019,289.0,38.0,0.0,0.0
J0020,304.0,48.0,0.0,0.0
J0021,318.0,54.0,0.0,0.0
J0022,314.0,40.0,0.0,0.0
J0023,340.0,49.0,0.0,0.0
J0024,350.0,58.0,6.0,0.0
J0025,347.0,55.0,0.0,0.0
J0026,359.0,65.0,22.0,0.0
J0027,356.0,58.0,9.0,0.0
J0028,379.0,68.0,20.0,0.0
J0029,370.0,59.0,12.0,0.0
J0030,377.0,62.0,11.0,0.0
J0031,392.0,76.0,28.0,0.0
J0032,392.0,73.0,22.0,0.0
J0033,404.0,82.0,31.0,0.0
J0034,403.0,78.0,31.0,0.0
J0035,410.0,78.0,26.0,0.0
J0036,417.0,80.0,32.0,0.0
J0037,418.0,72.0,23.0,0.0
J0038,428.0,81.0,28.0,0.0
J0039,424.0,73.0,27.0,0.0
J0040,442.0,87.0,28.0,0.0
J0041,445.0,76.0,24.0,0.0
J0042,445.0,72.0,22.0,0.0
J0043,451.0,77.0,26.0,0.0
J0044,451.0,76.0,26.0,0.0
J0045,455.0,78.0,32.0,0.0
J0046,466.0,84.0,35.0,0.0
J0047,467.0,82.0,42.0,0.0
J0048,495.0,109.0,55.0,0.0
J0049,484.0,98.0,48.0,0.0
J0050,501.0,104.0,53.0,0.0
J0051,499.0,101.0,57.0,0.0
J0052,511.0,107.0,53.0,0.0
J0053,520.0,113.0,61.0,0.0
J0054,513.0,95.0,48.0,0.0
J0055,517.0,91.0,48.0,0.0
J0056,531.0,82.0,29.0,0.0
J0057,533.0,76.0,31.0,0.0
J0058,546.0,62.0,9.0,0.0
J0059,556.0,67.0,17.0,0.0
J0060,563.0,72.0,15.0,0.0
J0061,562.0,65.0,16.0,0.0
J0062,573.0,67.0,15.0,0.0
J0063,583.0,73.0,18.0,0.0
J0064,592.0,63.0,9.0,0.0
J0065,601.0,56.0,0.0,0.0
J0066,630.0,70.0,2.0,0.0
J0067,604.0,44.0,0.0,0.0
J0068,627.0,60.0,12.0,0.0
J0069,629.0,48.0,0.0,0.0
J0070,644.0,54.0,0.0,0.0
J0071,650.0,56.0,4.0,0.0
J0072,671.0,53.0,0.0,0.0
