job_id,arrival_time_min,arrival_congestion_score,shift_bucket
J0001,52,0.04968779805430151,EARLY
J0002,89,0.2940980479430279,EARLY
J0003,100,0.3827303363642144,EARLY
J0004,110,0.4364468748012971,EARLY
J0005,116,0.4646480574807656,EARLY
J0006,118,0.47001971132447395,EARLY
J0007,133,0.4847917593946716,EARLY
J0008,136,0.4807630190118904,EARLY
J0009,138,0.472705538246328,EARLY
J0010,145,0.43778978826222426,EARLY
J0011,171,0.3397571056145482,EARLY
J0012,182,0.3370712786926941,EARLY
J0013,199,0.36527246137216257,EARLY
J0014,202,0.3773586825205062,EARLY
J0015,214,0.4189889998092453,EARLY
J0016,225,0.44853309594964075,EARLY
J0017,232,0.4512189228714948,EARLY
J0018,242,0.494192153621161,MID
J0019,251,0.530450817066192,MID
J0020,256,0.5519374324410251,MID
J0021,264,0.6029681439562536,MID
J0022,274,0.6848858650728048,MID
J0023,291,0.8608075284542507,MID
J0024,292,0.8728937496025944,MID
J0025,292,0.8728937496025944,MID
J0026,294,0.889008711133719,MID
J0027,298,0.9145240668913334,MID
J0028,311,0.9816697399376869,MID
J0029,311,0.9816697399376869,MID
J0030,315,0.9964417880078847,MID
J0031,316,0.999,MID
J0032,319,0.999,MID
J0033,322,0.999,MID
J0034,325,0.999,MID
J0035,332,0.999,MID
J0036,337,0.999,MID
J0037,346,0.999,MID
J0038,347,0.999,MID
J0039,351,0.999,MID
J0040,355,0.999,MID
J0041,369,0.999,MID
J0042,373,0.999,MID
J0043,374,0.999,MID
J0044,375,0.999,MID
J0045,377,0.999,MID
J0046,382,0.999,MID
J0047,385,0.999,MID
J0048,386,0.999,MID
J0049,386,0.999,MID
J0050,397,0.9430374515165003,MID
J0051,398,0.933637057290011,MID
J0052,404,0.8611197303999492,MID
J0053,407,0.8181464996502831,MID
J0054,418,0.6690831054873785,MID
J0055,426,0.5535925478476506,MID
J0056,449,0.3803567113880587,MID
J0057,457,0.37901379792713163,MID
J0058,484,0.4555598651999745,LATE
J0059,489,0.47838939403573466,LATE
J0060,491,0.48376104787944296,LATE
J0061,497,0.48376104787944296,LATE
J0062,506,0.47570356711388057,LATE
J0063,510,0.4703319132701723,LATE
J0064,529,0.44615947097348513,LATE
J0065,545,0.43944490366884975,LATE
J0066,560,0.45287403827812045,LATE
J0067,560,0.45287403827812045,LATE
J0068,567,0.444816557512558,LATE
J0069,581,0.42198702867679794,LATE
J0070,590,0.3870712786926941,LATE
J0071,594,0.365584663317861,LATE
J0072,618,0.1896629999364151,LATE
