job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,41,52,0,REGULAR,1.0,1,WET,300,369,1.6468,EARLY,0.04968779805430151
J0002,CORN,38,89,61,REGULAR,1.0,0,DRY,300,378,1.5263,EARLY,0.2940980479430279
J0003,CORN,41,100,73,REGULAR,1.0,0,NORMAL,300,403,1.6468,EARLY,0.3827303363642144
J0004,CORN,45,110,0,REGULAR,1.0,1,NORMAL,300,393,1.8075,EARLY,0.4364468748012971
J0005,CORN,37,116,0,REGULAR,1.0,1,NORMAL,300,413,1.4862,EARLY,0.4646480574807656
J0006,SOY,37,118,93,REGULAR,1.0,0,NORMAL,300,445,1.4862,EARLY,0.47001971132447395
J0007,SOY,35,133,109,REGULAR,1.0,0,NORMAL,300,473,1.4058,EARLY,0.4847917593946716
J0008,CORN,43,136,113,REGULAR,1.0,0,NORMAL,300,448,1.7272,EARLY,0.4807630190118904
J0009,CORN,42,138,31,CONTRACTED,1.25,1,NORMAL,300,395,1.687,EARLY,0.472705538246328
J0010,SORGHUM,34,145,0,CONTRACTED,1.25,1,WET,300,427,1.3657,EARLY,0.43778978826222426
J0011,CORN,45,171,16,CONTRACTED,1.25,1,DRY,300,428,1.8075,EARLY,0.3397571056145482
J0012,SOY,40,182,52,CONTRACTED,1.25,1,NORMAL,300,465,1.6067,EARLY,0.3370712786926941
J0013,CORN,39,199,26,REGULAR,1.0,1,NORMAL,300,499,1.5665,EARLY,0.36527246137216257
J0014,CORN,38,202,184,REGULAR,1.0,0,WET,300,516,1.5263,EARLY,0.3773586825205062
J0015,CORN,35,214,81,REGULAR,1.0,1,DRY,300,507,1.4058,EARLY,0.4189889998092453
J0016,SOY,39,225,208,REGULAR,1.0,0,NORMAL,300,539,1.5665,EARLY,0.44853309594964075
