job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB4,51.0,57.0,0.0
J0001,2,SAMPLE_CLASSIFY,LAB1,57.0,70.0,0.0
J0001,3,UNLOAD,HOP2,70.0,92.0,0.0
J0001,4,WEIGH_OUT,WB1,92.0,98.0,0.0
J0002,1,WEIGH_IN,WB1,103.0,110.0,0.0
J0003,1,WEIGH_IN,WB2,105.0,112.0,0.0
J0002,2,SAMPLE_CLASSIFY,LAB1,110.0,121.0,0.0
J0003,2,SAMPLE_CLASSIFY,LAB2,112.0,124.0,0.0
J0004,1,WEIGH_IN,WB2,120.0,127.0,0.0
J0002,3,UNLOAD,HOP2,121.0,145.0,0.0
J0003,3,UNLOAD,HOP3,124.0,151.0,0.0
J0004,2,SAMPLE_CLASSIFY,LAB2,127.0,136.0,0.0
J0004,3,UNLOAD,HOP4,136.0,158.0,0.0
J0002,4,WEIGH_OUT,WB1,145.0,150.0,0.0
J0005,1,WEIGH_IN,WB2,147.0,154.0,0.0
J0003,4,WEIGH_OUT,WB1,151.0,157.0,0.0
J0005,2,SAMPLE_CLASSIFY,LAB1,154.0,166.0,0.0
J0004,4,WEIGH_OUT,WB1,158.0,163.0,0.0
J0006,1,WEIGH_IN,WB2,162.0,169.0,0.0
J0007,1,WEIGH_IN,WB3,165.0,172.0,0.0
J0008,1,WEIGH_IN,WB4,166.0,174.0,0.0
J0005,3,UNLOAD,HOP1,166.0,192.0,0.0
J0006,2,SAMPLE_CLASSIFY,LAB1,169.0,183.0,0.0
J0009,1,WEIGH_IN,WB3,172.0,179.0,4.0
J0007,2,SAMPLE_CLASSIFY,LAB2,172.0,187.0,0.0
J0010,1,WEIGH_IN,WB4,174.0,181.0,6.0
J0008,2,SAMPLE_CLASSIFY,LAB3,174.0,190.0,0.0
J0011,1,WEIGH_IN,WB4,181.0,188.0,11.0
J0009,2,SAMPLE_CLASSIFY,LAB1,183.0,193.0,4.0
J0006,3,UNLOAD,HOP3,183.0,209.0,0.0
J0010,2,SAMPLE_CLASSIFY,LAB2,187.0,197.0,6.0
J0007,3,UNLOAD,HOP2,187.0,213.0,0.0
J0012,1,WEIGH_IN,WB4,188.0,196.0,14.0
J0011,2,SAMPLE_CLASSIFY,LAB3,190.0,207.0,2.0
J0008,3,UNLOAD,HOP4,190.0,221.0,0.0
J0005,4,WEIGH_OUT,WB1,192.0,198.0,0.0
J0009,3,UNLOAD,HOP6,193.0,218.0,0.0
J0013,1,WEIGH_IN,WB4,196.0,204.0,15.0
J0012,2,SAMPLE_CLASSIFY,LAB1,196.0,214.0,0.0
J0010,3,UNLOAD,HOP5,197.0,220.0,0.0
J0014,1,WEIGH_IN,WB4,204.0,211.0,11.0
J0013,2,SAMPLE_CLASSIFY,LAB2,204.0,216.0,0.0
J0011,3,UNLOAD,HOP1,207.0,233.0,0.0
J0006,4,WEIGH_OUT,WB1,209.0,215.0,0.0
J0015,1,WEIGH_IN,WB4,211.0,219.0,15.0
J0007,4,WEIGH_OUT,WB2,213.0,219.0,0.0
J0014,2,SAMPLE_CLASSIFY,LAB1,214.0,226.0,3.0
