job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,98.0,105.0,0.0
J0001,2,SAMPLE_CLASSIFY,LAB2,105.0,116.0,0.0
J0002,1,WEIGH_IN,WB2,106.0,112.0,0.0
J0002,2,SAMPLE_CLASSIFY,LAB1,112.0,124.0,0.0
J0001,3,UNLOAD,HOP2,116.0,139.0,0.0
J0003,1,WEIGH_IN,WB2,121.0,128.0,0.0
J0002,3,UNLOAD,HOP3,124.0,149.0,0.0
J0003,2,SAMPLE_CLASSIFY,LAB1,128.0,136.0,0.0
J0004,1,WEIGH_IN,WB2,134.0,141.0,0.0
J0003,3,UNLOAD,HOP4,136.0,165.0,0.0
J0001,4,WEIGH_OUT,WB1,139.0,145.0,0.0
J0004,2,SAMPLE_CLASSIFY,LAB2,141.0,151.0,0.0
J0002,4,WEIGH_OUT,WB1,149.0,155.0,0.0
J0004,3,UNLOAD,HOP3,151.0,175.0,0.0
J0003,4,WEIGH_OUT,WB1,165.0,170.0,0.0
J0004,4,WEIGH_OUT,WB1,175.0,180.0,0.0
J0005,1,WEIGH_IN,WB3,175.0,182.0,0.0
J0006,1,WEIGH_IN,WB2,178.0,185.0,0.0
J0005,2,SAMPLE_CLASSIFY,LAB1,182.0,194.0,0.0
J0006,2,SAMPLE_CLASSIFY,LAB2,185.0,197.0,0.0
J0005,3,UNLOAD,HOP2,194.0,220.0,0.0
J0006,3,UNLOAD,HOP1,197.0,226.0,0.0
J0007,1,WEIGH_IN,WB2,215.0,222.0,0.0
J0008,1,WEIGH_IN,WB3,219.0,226.0,0.0
J0005,4,WEIGH_OUT,WB1,220.0,226.0,0.0
J0007,2,SAMPLE_CLASSIFY,LAB1,222.0,234.0,0.0
J0006,4,WEIGH_OUT,WB1,226.0,232.0,0.0
J0008,2,SAMPLE_CLASSIFY,LAB2,226.0,237.0,0.0
J0007,3,UNLOAD,HOP1,234.0,262.0,0.0
J0008,3,UNLOAD,HOP3,237.0,260.0,0.0
J0008,4,WEIGH_OUT,WB2,260.0,266.0,0.0
J0009,1,WEIGH_IN,WB3,260.0,268.0,0.0
J0007,4,WEIGH_OUT,WB1,262.0,267.0,0.0
J0010,1,WEIGH_IN,WB2,266.0,273.0,6.0
J0009,2,SAMPLE_CLASSIFY,LAB1,268.0,279.0,0.0
J0011,1,WEIGH_IN,WB3,270.0,278.0,0.0
J0010,2,SAMPLE_CLASSIFY,LAB2,273.0,288.0,0.0
J0011,2,SAMPLE_CLASSIFY,LAB1,279.0,290.0,1.0
J0009,3,UNLOAD,HOP2,279.0,304.0,0.0
J0012,1,WEIGH_IN,WB3,288.0,296.0,0.0
J0010,3,UNLOAD,HOP1,288.0,328.0,0.0
J0011,3,UNLOAD,HOP4,290.0,323.0,0.0
J0013,1,WEIGH_IN,WB3,296.0,304.0,1.0
J0012,2,SAMPLE_CLASSIFY,LAB1,296.0,306.0,0.0
J0009,4,WEIGH_OUT,WB1,304.0,310.0,0.0
J0013,2,SAMPLE_CLASSIFY,LAB1,306.0,314.0,2.0
J0012,3,UNLOAD,HOP3,306.0,335.0,0.0
J0014,1,WEIGH_IN,WB3,310.0,317.0,0.0
J0015,1,WEIGH_IN,WB3,317.0,325.0,3.0
J0014,2,SAMPLE_CLASSIFY,LAB1,317.0,329.0,0.0
J0011,4,WEIGH_OUT,WB2,323.0,329.0,0.0
J0013,3,UNLOAD,HOP4,323.0,358.0,9.0
J0015,2,SAMPLE_CLASSIFY,LAB2,325.0,335.0,0.0
J0010,4,WEIGH_OUT,WB1,328.0,334.0,0.0
J0014,3,UNLOAD,HOP2,329.0,355.0,0.0
J0016,1,WEIGH_IN,WB3,333.0,341.0,0.0
J0012,4,WEIGH_OUT,WB1,335.0,341.0,0.0
J0015,3,UNLOAD,HOP3,335.0,362.0,0.0
J0017,1,WEIGH_IN,WB3,341.0,349.0,3.0
J0016,2,SAMPLE_CLASSIFY,LAB1,341.0,353.0,0.0
J0017,2,SAMPLE_CLASSIFY,LAB2,349.0,363.0,0.0
J0014,4,WEIGH_OUT,WB2,355.0,361.0,0.0
J0018,1,WEIGH_IN,WB3,356.0,366.0,0.0
J0013,4,WEIGH_OUT,WB1,358.0,364.0,0.0
J0015,4,WEIGH_OUT,WB2,362.0,368.0,0.0
J0016,3,UNLOAD,HOP3,362.0,387.0,9.0
J0017,3,UNLOAD,HOP2,363.0,396.0,0.0
J0019,1,WEIGH_IN,WB3,366.0,375.0,10.0
J0018,2,SAMPLE_CLASSIFY,LAB1,366.0,378.0,0.0
J0019,2,SAMPLE_CLASSIFY,LAB2,375.0,384.0,0.0
J0020,1,WEIGH_IN,WB3,375.0,384.0,15.0
J0018,3,UNLOAD,HOP1,378.0,410.0,0.0
J0021,1,WEIGH_IN,WB3,384.0,391.0,19.0
J0020,2,SAMPLE_CLASSIFY,LAB2,384.0,393.0,0.0
J0016,4,WEIGH_OUT,WB1,387.0,392.0,0.0
J0019,3,UNLOAD,HOP3,387.0,412.0,3.0
J0022,1,WEIGH_IN,WB3,391.0,398.0,18.0
J0021,2,SAMPLE_CLASSIFY,LAB1,391.0,402.0,0.0
J0017,4,WEIGH_OUT,WB1,396.0,401.0,0.0
J0023,1,WEIGH_IN,WB3,398.0,405.0,21.0
J0022,2,SAMPLE_CLASSIFY,LAB2,398.0,408.0,0.0
J0021,3,UNLOAD,HOP2,402.0,428.0,0.0
