job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,35,98,69,CONTRACTED,1.25,0,NORMAL,300,401,1.4058,EARLY,0.25590392451211663
J0002,SORGHUM,31,106,0,REGULAR,1.0,1,WET,300,428,1.2452,EARLY,0.2921381085138323
J0003,SORGHUM,35,121,17,REGULAR,1.0,1,DRY,300,422,1.4058,EARLY,0.3125198370147973
J0004,CORN,37,134,109,REGULAR,1.0,0,NORMAL,300,453,1.4862,EARLY,0.3125198370147974
J0005,SOY,40,175,0,REGULAR,1.0,1,NORMAL,300,495,1.6067,EARLY,0.26722710701265284
J0006,SOY,41,178,42,REGULAR,1.0,1,NORMAL,300,482,1.6468,EARLY,0.26722710701265284
J0007,CORN,35,215,0,REGULAR,1.0,1,WET,300,535,1.4058,EARLY,0.3034612910143685
J0008,CORN,34,219,199,REGULAR,1.0,0,NORMAL,300,550,1.3657,EARLY,0.3125198370147973
J0009,SOY,35,260,41,REGULAR,1.0,1,NORMAL,300,580,1.4058,MID,0.49142612052326834
J0010,SOY,41,260,122,REGULAR,1.0,1,WET,300,575,1.6468,MID,0.49142612052326834
J0011,SOY,39,270,186,REGULAR,1.0,1,NORMAL,300,588,1.5665,MID,0.5140724855243406
J0012,CORN,44,288,74,REGULAR,1.0,1,DRY,300,579,1.7673,MID,0.5797469440274501
J0013,CORN,44,295,104,REGULAR,1.0,1,DRY,300,585,1.7673,MID,0.5955993995282007
J0014,SOY,37,310,232,REGULAR,1.0,1,NORMAL,300,619,1.4862,MID,0.659009221531203
J0015,CORN,37,314,124,REGULAR,1.0,1,NORMAL,300,590,1.4862,MID,0.6703324040317393
J0016,SORGHUM,30,333,186,REGULAR,1.0,1,WET,300,643,1.205,MID,0.7971520480377441
J0017,SOY,35,338,240,REGULAR,1.0,1,WET,300,652,1.4058,MID,0.8401801415397814
J0018,SOY,38,356,203,REGULAR,1.0,1,NORMAL,300,652,1.5263,MID,0.999
J0019,CORN,34,356,349,REGULAR,1.0,0,DRY,300,649,1.3657,MID,0.999
J0020,CORN,34,360,177,REGULAR,1.0,1,DRY,300,646,1.3657,MID,0.999
J0021,SOY,40,365,361,CONTRACTED,1.25,0,NORMAL,300,651,1.6067,MID,0.999
J0022,SORGHUM,37,373,370,CONTRACTED,1.25,0,NORMAL,300,644,1.4862,MID,0.999
J0023,SOY,40,377,193,REGULAR,1.0,1,NORMAL,300,726,1.6067,MID,0.999
J0024,SOY,40,382,248,REGULAR,1.0,1,NORMAL,300,678,1.6067,MID,0.999
J0025,SOY,39,394,205,REGULAR,1.0,1,NORMAL,300,689,1.5665,MID,0.999
J0026,SOY,41,400,300,REGULAR,1.0,1,NORMAL,300,714,1.6468,MID,0.999
J0027,CORN,40,403,228,REGULAR,1.0,1,NORMAL,300,692,1.6067,MID,0.999
J0028,CORN,45,408,256,REGULAR,1.0,1,NORMAL,300,683,1.8075,MID,0.9898241475444992
J0029,SORGHUM,38,431,334,CONTRACTED,1.25,1,DRY,300,693,1.5263,MID,0.8765923225391381
J0030,CORN,39,436,296,REGULAR,1.0,1,NORMAL,300,724,1.5665,MID,0.8720630495389237
J0031,SORGHUM,30,448,282,REGULAR,1.0,1,NORMAL,300,740,1.205,MID,0.8833862320394597
J0032,SOY,39,450,450,REGULAR,1.0,0,WET,300,783,1.5665,MID,0.8856508685395669
J0033,SORGHUM,32,455,455,CONTRACTED,1.25,0,NORMAL,300,734,1.2853,MID,0.8765923225391381
J0034,CORN,36,459,411,REGULAR,1.0,1,NORMAL,300,765,1.446,MID,0.85847523053828
J0035,SOY,38,473,473,CONTRACTED,1.25,0,NORMAL,300,742,1.5263,MID,0.8471520480377441
J0036,SORGHUM,38,491,285,REGULAR,1.0,1,NORMAL,300,785,1.5263,LATE,0.8471520480377441
J0037,SOY,40,497,345,REGULAR,1.0,1,NORMAL,300,802,1.6067,LATE,0.8358288655372078
J0038,CORN,35,507,507,REGULAR,1.0,0,WET,300,824,1.4058,LATE,0.795065408535278
J0039,SOY,40,509,509,REGULAR,1.0,0,NORMAL,300,832,1.6067,LATE,0.7837422260347415
J0040,SOY,35,524,475,CONTRACTED,1.25,1,WET,300,800,1.4058,LATE,0.7293909500321681
J0041,CORN,44,526,473,REGULAR,1.0,1,NORMAL,300,827,1.7673,LATE,0.7248616770319538
J0042,CORN,44,526,526,REGULAR,1.0,0,WET,300,820,1.7673,LATE,0.7248616770319538
J0043,CORN,39,565,565,CONTRACTED,1.25,0,WET,300,845,1.5665,LATE,0.5119858460218744
J0044,SOY,35,577,529,REGULAR,1.0,1,NORMAL,300,884,1.4058,LATE,0.5255736650225178
J0045,CORN,39,583,513,REGULAR,1.0,1,NORMAL,300,892,1.5665,LATE,0.5119858460218745
J0046,SORGHUM,35,604,462,CONTRACTED,1.25,1,NORMAL,300,849,1.4058,LATE,0.49613339052112376
J0047,SOY,40,606,606,URGENT,1.75,1,NORMAL,300,848,1.6067,LATE,0.4870748445206948
J0048,SOY,40,618,618,URGENT,1.75,1,NORMAL,300,855,1.6067,LATE,0.3783722925155479
