event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0008,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0009,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""CONTRACTED""}"
8,JOB_VISIBLE,JOB,J0015,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
28,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
41,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
44,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
55,JOB_VISIBLE,JOB,J0014,"{""commodity"":""SORGHUM"",""load_tons"":31,""priority_class"":""REGULAR""}"
65,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
76,JOB_VISIBLE,JOB,J0018,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""REGULAR""}"
103,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""REGULAR""}"
103,JOB_VISIBLE,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
114,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
129,JOB_VISIBLE,JOB,J0006,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
137,JOB_VISIBLE,JOB,J0007,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
153,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""REGULAR""}"
154,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
154,JOB_VISIBLE,JOB,J0022,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
161,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
169,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
186,JOB_ARRIVAL,JOB,J0009,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""CONTRACTED""}"
186,JOB_VISIBLE,JOB,J0010,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
193,JOB_VISIBLE,JOB,J0012,"{""commodity"":""SORGHUM"",""load_tons"":36,""priority_class"":""REGULAR""}"
199,JOB_VISIBLE,JOB,J0024,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
206,JOB_ARRIVAL,JOB,J0010,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
208,JOB_ARRIVAL,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
210,JOB_ARRIVAL,JOB,J0012,"{""commodity"":""SORGHUM"",""load_tons"":36,""priority_class"":""REGULAR""}"
215,JOB_ARRIVAL,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
239,JOB_ARRIVAL,JOB,J0014,"{""commodity"":""SORGHUM"",""load_tons"":31,""priority_class"":""REGULAR""}"
243,JOB_ARRIVAL,JOB,J0015,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
252,JOB_VISIBLE,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
264,JOB_ARRIVAL,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
276,JOB_VISIBLE,JOB,J0035,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
278,JOB_VISIBLE,JOB,J0019,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
278,JOB_VISIBLE,JOB,J0028,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""REGULAR""}"
281,JOB_ARRIVAL,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
283,JOB_VISIBLE,JOB,J0020,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
