job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,86.0,58.0,0.0,0.0
J0002,92.0,48.0,0.0,0.0
J0003,145.0,42.0,0.0,0.0
J0004,170.0,56.0,0.0,0.0
J0005,198.0,45.0,0.0,0.0
J0006,206.0,52.0,0.0,0.0
J0007,222.0,61.0,0.0,0.0
J0008,227.0,58.0,0.0,0.0
J0009,232.0,46.0,0.0,0.0
J0010,263.0,57.0,0.0,0.0
J0011,276.0,68.0,5.0,0.0
J0012,272.0,62.0,10.0,0.0
J0013,289.0,74.0,23.0,0.0
J0014,285.0,46.0,0.0,0.0
J0015,301.0,58.0,7.0,0.0
J0016,314.0,50.0,0.0,0.0
J0017,333.0,52.0,0.0,0.0
J0018,339.0,55.0,1.0,0.0
J0019,345.0,60.0,8.0,0.0
J0020,358.0,69.0,18.0,0.0
J0021,371.0,67.0,8.0,0.0
J0022,383.0,48.0,0.0,0.0
J0023,402.0,57.0,0.0,0.0
J0024,410.0,48.0,0.0,0.0
J0025,428.0,57.0,0.0,0.0
J0026,431.0,57.0,4.0,0.0
J0027,446.0,58.0,0.0,0.0
J0028,456.0,59.0,7.0,0.0
J0029,460.0,63.0,9.0,0.0
J0030,486.0,68.0,19.0,0.0
J0031,502.0,71.0,7.0,0.0
J0032,514.0,76.0,26.0,0.0
J0033,509.0,70.0,15.0,0.0
J0034,535.0,65.0,6.0,0.0
J0035,535.0,62.0,12.0,0.0
J0036,539.0,66.0,17.0,0.0
J0037,582.0,94.0,47.0,0.0
J0038,590.0,91.0,36.0,0.0
J0039,609.0,108.0,54.0,0.0
J0040,603.0,101.0,45.0,0.0
J0041,616.0,108.0,57.0,0.0
J0042,621.0,111.0,50.0,0.0
J0043,652.0,115.0,66.0,0.0
J0044,662.0,120.0,69.0,0.0
J0045,666.0,123.0,75.0,0.0
J0046,673.0,89.0,42.0,0.0
J0047,704.0,57.0,8.0,0.0
J0048,694.0,47.0,0.0,0.0
