job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,68.0,47.0,0.0,0.0
J0002,103.0,51.0,0.0,0.0
J0003,116.0,58.0,1.0,0.0
J0004,151.0,64.0,16.0,0.0
J0005,231.0,50.0,0.0,0.0
J0006,244.0,53.0,0.0,0.0
J0007,255.0,62.0,14.0,0.0
J0008,281.0,54.0,0.0,0.0
J0009,290.0,53.0,0.0,0.0
J0010,300.0,49.0,7.0,0.0
J0011,321.0,65.0,6.0,0.0
J0012,333.0,57.0,0.0,0.0
J0013,373.0,61.0,0.0,0.0
J0014,434.0,48.0,0.0,0.0
J0015,492.0,51.0,0.0,0.0
J0016,501.0,48.0,0.0,0.0
J0017,519.0,66.0,13.0,0.0
J0018,527.0,62.0,2.0,0.0
J0019,573.0,106.0,52.0,0.0
J0020,581.0,108.0,54.0,0.0
J0021,603.0,108.0,48.0,0.0
J0022,617.0,114.0,50.0,0.0
J0023,618.0,113.0,47.0,0.0
J0024,673.0,166.0,110.0,0.0
J0025,687.0,172.0,103.0,0.0
J0026,679.0,164.0,113.0,0.0
J0027,732.0,148.0,95.0,0.0
J0028,751.0,163.0,101.0,0.0
J0029,761.0,158.0,93.0,0.0
J0030,758.0,117.0,65.0,0.0
