job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,21.0,28.0,0.0
J0001,2,SAMPLE_CLASSIFY,LAB1,28.0,38.0,0.0
J0001,3,UNLOAD,HOP2,38.0,62.0,0.0
J0002,1,WEIGH_IN,WB2,52.0,59.0,0.0
J0003,1,WEIGH_IN,WB2,59.0,67.0,1.0
J0002,2,SAMPLE_CLASSIFY,LAB1,59.0,71.0,0.0
J0001,4,WEIGH_OUT,WB1,62.0,68.0,0.0
J0003,2,SAMPLE_CLASSIFY,LAB2,67.0,79.0,0.0
J0002,3,UNLOAD,HOP3,71.0,97.0,0.0
J0003,3,UNLOAD,HOP2,79.0,110.0,0.0
J0002,4,WEIGH_OUT,WB1,97.0,103.0,0.0
J0004,1,WEIGH_IN,WB1,103.0,110.0,16.0
J0003,4,WEIGH_OUT,WB2,110.0,116.0,0.0
J0004,2,SAMPLE_CLASSIFY,LAB1,110.0,120.0,0.0
J0004,3,UNLOAD,HOP2,120.0,145.0,0.0
J0004,4,WEIGH_OUT,WB1,145.0,151.0,0.0
J0005,1,WEIGH_IN,WB2,181.0,188.0,0.0
J0005,2,SAMPLE_CLASSIFY,LAB1,188.0,199.0,0.0
J0006,1,WEIGH_IN,WB2,191.0,199.0,0.0
J0007,1,WEIGH_IN,WB2,199.0,207.0,6.0
J0006,2,SAMPLE_CLASSIFY,LAB1,199.0,211.0,0.0
J0005,3,UNLOAD,HOP3,199.0,225.0,0.0
J0007,2,SAMPLE_CLASSIFY,LAB2,207.0,217.0,0.0
J0006,3,UNLOAD,HOP2,211.0,238.0,0.0
J0005,4,WEIGH_OUT,WB1,225.0,231.0,0.0
J0007,3,UNLOAD,HOP3,225.0,249.0,8.0
J0008,1,WEIGH_IN,WB2,227.0,235.0,0.0
J0008,2,SAMPLE_CLASSIFY,LAB1,235.0,246.0,0.0
J0009,1,WEIGH_IN,WB2,237.0,245.0,0.0
J0006,4,WEIGH_OUT,WB1,238.0,244.0,0.0
J0009,2,SAMPLE_CLASSIFY,LAB2,245.0,257.0,0.0
J0008,3,UNLOAD,HOP2,246.0,275.0,0.0
J0007,4,WEIGH_OUT,WB1,249.0,255.0,0.0
J0010,1,WEIGH_IN,WB2,251.0,258.0,0.0
J0009,3,UNLOAD,HOP3,257.0,284.0,0.0
J0011,1,WEIGH_IN,WB2,258.0,266.0,2.0
J0010,2,SAMPLE_CLASSIFY,LAB1,258.0,268.0,0.0
J0011,2,SAMPLE_CLASSIFY,LAB2,266.0,280.0,0.0
J0008,4,WEIGH_OUT,WB1,275.0,281.0,0.0
