job_id,arrival_time_min,arrival_congestion_score,shift_bucket
J0001,21,0.14978723404255312,EARLY
J0002,52,0.31109656301145666,EARLY
J0003,58,0.31109656301145666,EARLY
J0004,87,0.1613093289689034,EARLY
J0005,181,0.3341407528641572,EARLY
J0006,191,0.420556464811784,EARLY
J0007,193,0.43207855973813425,EARLY
J0008,227,0.5530605564648119,EARLY
J0009,237,0.5530605564648119,EARLY
J0010,251,0.5012111292962357,MID
J0011,256,0.492569558101473,MID
J0012,276,0.3773486088379706,MID
J0013,312,0.0806546644844517,MID
J0014,386,0.014402618657937735,MID
J0015,441,0.5905073649754501,MID
J0016,453,0.8680687397708676,MID
J0017,453,0.8680687397708676,MID
J0018,465,0.999,MID
J0019,467,0.999,MID
J0020,473,0.999,MID
J0021,495,0.999,LATE
J0022,503,0.999,LATE
J0023,505,0.999,LATE
J0024,507,0.999,LATE
J0025,515,0.8853518821603931,LATE
J0026,515,0.8853518821603931,LATE
J0027,584,0.3380523731587562,LATE
J0028,588,0.36109656301145665,LATE
J0029,603,0.36109656301145665,LATE
J0030,641,0.142176759410802,LATE
