job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,CORN,36,21,0,REGULAR,1.0,1,NORMAL,300,327,1.446,EARLY,0.14978723404255312
J0002,SOY,35,52,0,CONTRACTED,1.25,1,NORMAL,300,348,1.4058,EARLY,0.31109656301145666
J0003,CORN,43,58,0,REGULAR,1.0,1,NORMAL,300,381,1.7272,EARLY,0.31109656301145666
J0004,SORGHUM,36,87,64,REGULAR,1.0,0,NORMAL,300,423,1.446,EARLY,0.1613093289689034
J0005,SOY,38,181,48,REGULAR,1.0,1,DRY,300,508,1.5263,EARLY,0.3341407528641572
J0006,CORN,41,191,95,REGULAR,1.0,1,NORMAL,300,509,1.6468,EARLY,0.420556464811784
J0007,CORN,38,193,114,REGULAR,1.0,1,NORMAL,300,515,1.5263,EARLY,0.43207855973813425
J0008,CORN,44,227,212,REGULAR,1.0,0,NORMAL,300,554,1.7673,EARLY,0.5530605564648119
J0009,SOY,40,237,224,REGULAR,1.0,0,NORMAL,300,575,1.6067,EARLY,0.5530605564648119
J0010,SORGHUM,30,251,240,REGULAR,1.0,0,DRY,300,571,1.205,MID,0.5012111292962357
J0011,SOY,39,256,56,REGULAR,1.0,1,WET,300,588,1.5665,MID,0.492569558101473
J0012,SOY,39,276,157,REGULAR,1.0,1,NORMAL,300,584,1.5665,MID,0.3773486088379706
J0013,SOY,35,312,307,REGULAR,1.0,0,WET,300,646,1.4058,MID,0.0806546644844517
J0014,SORGHUM,38,386,278,REGULAR,1.0,1,NORMAL,300,690,1.5263,MID,0.014402618657937735
J0015,SOY,40,441,440,REGULAR,1.0,0,NORMAL,300,766,1.6067,MID,0.5905073649754501
J0016,CORN,39,453,383,REGULAR,1.0,1,NORMAL,300,757,1.5665,MID,0.8680687397708676
J0017,SOY,41,453,453,REGULAR,1.0,0,NORMAL,300,768,1.6468,MID,0.8680687397708676
J0018,SOY,38,465,465,CONTRACTED,1.25,0,NORMAL,300,772,1.5263,MID,0.999
J0019,SOY,38,467,358,REGULAR,1.0,1,NORMAL,300,768,1.5263,MID,0.999
J0020,CORN,37,473,469,URGENT,1.75,1,NORMAL,300,706,1.4862,MID,0.999
J0021,SOY,35,495,365,REGULAR,1.0,1,WET,300,793,1.4058,LATE,0.999
J0022,CORN,45,503,423,REGULAR,1.0,1,WET,300,790,1.8075,LATE,0.999
J0023,CORN,43,505,457,REGULAR,1.0,1,DRY,300,789,1.7272,LATE,0.999
J0024,SOY,39,507,338,REGULAR,1.0,1,NORMAL,300,834,1.5665,LATE,0.999
J0025,SOY,41,515,423,REGULAR,1.0,1,NORMAL,300,810,1.6468,LATE,0.8853518821603931
J0026,CORN,40,515,515,REGULAR,1.0,0,DRY,300,818,1.6067,LATE,0.8853518821603931
J0027,SOY,37,584,416,REGULAR,1.0,1,DRY,300,870,1.4862,LATE,0.3380523731587562
J0028,SOY,41,588,460,REGULAR,1.0,1,DRY,300,883,1.6468,LATE,0.36109656301145665
J0029,CORN,44,603,564,REGULAR,1.0,1,WET,300,900,1.7673,LATE,0.36109656301145665
J0030,CORN,37,641,641,CONTRACTED,1.25,0,NORMAL,300,904,1.4862,LATE,0.142176759410802
