event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
25,JOB_VISIBLE,JOB,J0010,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""REGULAR""}"
38,JOB_VISIBLE,JOB,J0003,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
42,JOB_VISIBLE,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
61,JOB_VISIBLE,JOB,J0001,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
78,JOB_VISIBLE,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
78,JOB_VISIBLE,JOB,J0005,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
80,JOB_VISIBLE,JOB,J0014,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""CONTRACTED""}"
93,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
108,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
115,JOB_VISIBLE,JOB,J0008,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
133,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
142,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
142,JOB_VISIBLE,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
208,JOB_VISIBLE,JOB,J0019,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
212,JOB_VISIBLE,JOB,J0015,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
216,JOB_VISIBLE,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
224,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
226,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
231,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
235,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
238,JOB_VISIBLE,JOB,J0009,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""REGULAR""}"
238,JOB_VISIBLE,JOB,J0012,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""URGENT""}"
248,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
251,JOB_VISIBLE,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""REGULAR""}"
252,JOB_ARRIVAL,JOB,J0009,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""REGULAR""}"
252,JOB_ARRIVAL,JOB,J0010,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""REGULAR""}"
253,JOB_ARRIVAL,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
258,JOB_VISIBLE,JOB,J0023,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""REGULAR""}"
259,JOB_ARRIVAL,JOB,J0012,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""URGENT""}"
