job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SORGHUM,36,129,0,REGULAR,1.0,1,NORMAL,300,447,1.446,EARLY,0.1812071005917159
J0002,SOY,37,160,0,REGULAR,1.0,1,NORMAL,300,478,1.4862,EARLY,0.18745562130177518
J0003,CORN,41,219,0,REGULAR,1.0,1,WET,300,520,1.6468,EARLY,0.7998106508875741
J0004,SOY,39,231,124,REGULAR,1.0,1,NORMAL,300,547,1.5665,EARLY,0.943526627218935
J0005,CORN,35,236,0,REGULAR,1.0,1,WET,300,553,1.4058,EARLY,0.9747692307692309
J0006,SORGHUM,33,243,143,REGULAR,1.0,1,NORMAL,300,500,1.3255,MID,0.9747692307692307
J0007,SOY,41,292,138,REGULAR,1.0,1,NORMAL,300,590,1.6468,MID,0.999
J0008,SOY,35,295,168,REGULAR,1.0,1,WET,300,598,1.4058,MID,0.999
J0009,SOY,36,306,174,REGULAR,1.0,1,NORMAL,300,599,1.446,MID,0.999
J0010,CORN,45,316,235,CONTRACTED,1.25,1,NORMAL,300,552,1.8075,MID,0.999
J0011,SORGHUM,35,344,112,REGULAR,1.0,1,DRY,300,637,1.4058,MID,0.5061420118343196
J0012,CORN,36,428,428,REGULAR,1.0,0,WET,300,726,1.446,MID,0.9060473372781066
J0013,CORN,38,432,322,REGULAR,1.0,1,NORMAL,300,721,1.5263,MID,0.9810295857988167
J0014,SOY,37,450,316,REGULAR,1.0,1,NORMAL,300,704,1.4862,MID,0.999
J0015,SOY,41,456,238,REGULAR,1.0,1,NORMAL,300,725,1.6468,MID,0.999
J0016,SOY,37,477,477,REGULAR,1.0,0,NORMAL,300,784,1.4862,MID,0.8560591715976332
J0017,SOY,40,508,508,REGULAR,1.0,0,NORMAL,300,803,1.6067,LATE,0.4998934911242604
J0018,SOY,36,535,433,REGULAR,1.0,1,NORMAL,300,820,1.446,LATE,0.268698224852071
