event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
49,JOB_VISIBLE,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
64,JOB_VISIBLE,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""REGULAR""}"
108,JOB_VISIBLE,JOB,J0010,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
144,JOB_VISIBLE,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
158,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
160,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
161,JOB_VISIBLE,JOB,J0006,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""REGULAR""}"
191,JOB_VISIBLE,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
218,JOB_VISIBLE,JOB,J0007,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""CONTRACTED""}"
248,JOB_VISIBLE,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
264,JOB_VISIBLE,JOB,J0014,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
266,JOB_VISIBLE,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
270,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""REGULAR""}"
275,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
289,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
294,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""REGULAR""}"
301,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""CONTRACTED""}"
313,JOB_VISIBLE,JOB,J0009,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
314,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
315,JOB_ARRIVAL,JOB,J0009,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
315,JOB_VISIBLE,JOB,J0015,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
332,MACHINE_DOWN,MACHINE,HOP1,"{""reason"":""CHILD_GRADED_STRESS""}"
344,JOB_ARRIVAL,JOB,J0010,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
365,MACHINE_UP,MACHINE,HOP1,"{""reason"":""CHILD_GRADED_STRESS""}"
377,JOB_ARRIVAL,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
377,JOB_ARRIVAL,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
398,JOB_ARRIVAL,JOB,J0013,"{""commodity"":""SORGHUM"",""load_tons"":32,""priority_class"":""REGULAR""}"
398,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SORGHUM"",""load_tons"":32,""priority_class"":""REGULAR""}"
431,JOB_VISIBLE,JOB,J0018,"{""commodity"":""SORGHUM"",""load_tons"":37,""priority_class"":""REGULAR""}"
433,JOB_ARRIVAL,JOB,J0014,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
459,JOB_ARRIVAL,JOB,J0015,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
466,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
515,JOB_ARRIVAL,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""REGULAR""}"
515,JOB_VISIBLE,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""REGULAR""}"
520,JOB_ARRIVAL,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
565,JOB_ARRIVAL,JOB,J0018,"{""commodity"":""SORGHUM"",""load_tons"":37,""priority_class"":""REGULAR""}"
