job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,217.0,59.0,0.0,0.0
J0002,230.0,70.0,9.0,0.0
J0003,330.0,60.0,0.0,0.0
J0004,404.0,129.0,68.0,0.0
J0005,365.0,76.0,10.0,0.0
J0006,425.0,131.0,71.0,0.0
J0007,446.0,145.0,79.0,0.0
J0008,461.0,147.0,86.0,0.0
J0009,495.0,180.0,102.0,0.0
J0010,544.0,200.0,124.0,0.0
J0011,610.0,233.0,173.0,0.0
J0012,577.0,200.0,142.0,0.0
J0013,507.0,109.0,60.0,0.0
J0014,649.0,216.0,151.0,0.0
J0015,577.0,118.0,60.0,0.0
J0016,639.0,124.0,62.0,0.0
J0017,700.0,180.0,119.0,0.0
J0018,702.0,137.0,85.0,0.0
