job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,158.0,165.0,0.0
J0002,1,WEIGH_IN,WB2,160.0,168.0,0.0
J0001,2,SAMPLE_CLASSIFY,LAB1,165.0,177.0,0.0
J0002,2,SAMPLE_CLASSIFY,LAB1,177.0,189.0,9.0
J0001,3,UNLOAD,HOP1,177.0,211.0,0.0
J0002,3,UNLOAD,HOP2,189.0,224.0,0.0
J0001,4,WEIGH_OUT,WB1,211.0,217.0,0.0
J0002,4,WEIGH_OUT,WB1,224.0,230.0,0.0
J0003,1,WEIGH_IN,WB1,270.0,278.0,0.0
J0004,1,WEIGH_IN,WB2,275.0,283.0,0.0
J0003,2,SAMPLE_CLASSIFY,LAB1,278.0,290.0,0.0
J0005,1,WEIGH_IN,WB2,289.0,299.0,0.0
J0004,2,SAMPLE_CLASSIFY,LAB1,290.0,304.0,7.0
J0003,3,UNLOAD,HOP2,290.0,324.0,0.0
J0005,2,SAMPLE_CLASSIFY,LAB1,304.0,319.0,5.0
J0003,4,WEIGH_OUT,WB1,324.0,330.0,0.0
J0005,3,UNLOAD,HOP2,324.0,359.0,5.0
J0005,4,WEIGH_OUT,WB2,359.0,365.0,0.0
J0006,1,WEIGH_IN,WB2,365.0,373.0,71.0
J0004,3,UNLOAD,HOP1,365.0,399.0,61.0
J0007,1,WEIGH_IN,WB2,373.0,381.0,72.0
J0006,2,SAMPLE_CLASSIFY,LAB1,373.0,388.0,0.0
J0008,1,WEIGH_IN,WB2,381.0,389.0,67.0
J0007,2,SAMPLE_CLASSIFY,LAB1,388.0,401.0,7.0
J0006,3,UNLOAD,HOP2,388.0,420.0,0.0
J0009,1,WEIGH_IN,WB2,389.0,397.0,74.0
J0010,1,WEIGH_IN,WB2,397.0,404.0,53.0
J0004,4,WEIGH_OUT,WB1,399.0,404.0,0.0
J0008,2,SAMPLE_CLASSIFY,LAB1,401.0,413.0,12.0
J0007,3,UNLOAD,HOP1,401.0,440.0,0.0
J0012,1,WEIGH_IN,WB2,404.0,412.0,27.0
J0011,1,WEIGH_IN,WB2,412.0,420.0,35.0
J0009,2,SAMPLE_CLASSIFY,LAB1,413.0,428.0,16.0
J0006,4,WEIGH_OUT,WB1,420.0,425.0,0.0
J0013,1,WEIGH_IN,WB2,420.0,428.0,22.0
J0008,3,UNLOAD,HOP2,420.0,454.0,7.0
J0010,2,SAMPLE_CLASSIFY,LAB1,428.0,442.0,24.0
J0007,4,WEIGH_OUT,WB1,440.0,446.0,0.0
J0009,3,UNLOAD,HOP1,440.0,489.0,12.0
J0012,2,SAMPLE_CLASSIFY,LAB1,442.0,453.0,30.0
J0011,2,SAMPLE_CLASSIFY,LAB1,453.0,466.0,33.0
J0008,4,WEIGH_OUT,WB1,454.0,461.0,0.0
J0013,2,SAMPLE_CLASSIFY,LAB1,466.0,477.0,38.0
J0013,3,UNLOAD,HOP2,477.0,501.0,0.0
J0009,4,WEIGH_OUT,WB1,489.0,495.0,0.0
J0010,3,UNLOAD,HOP1,489.0,538.0,47.0
J0013,4,WEIGH_OUT,WB2,501.0,507.0,0.0
J0014,1,WEIGH_IN,WB2,507.0,515.0,74.0
J0015,1,WEIGH_IN,WB2,515.0,523.0,56.0
J0014,2,SAMPLE_CLASSIFY,LAB1,515.0,527.0,0.0
J0015,2,SAMPLE_CLASSIFY,LAB1,527.0,538.0,4.0
J0010,4,WEIGH_OUT,WB1,538.0,544.0,0.0
J0015,3,UNLOAD,HOP2,538.0,570.0,0.0
J0012,3,UNLOAD,HOP1,538.0,571.0,85.0
J0015,4,WEIGH_OUT,WB2,570.0,577.0,0.0
J0012,4,WEIGH_OUT,WB1,571.0,577.0,0.0
J0011,3,UNLOAD,HOP1,571.0,604.0,105.0
J0016,1,WEIGH_IN,WB2,577.0,585.0,62.0
J0016,2,SAMPLE_CLASSIFY,LAB1,585.0,600.0,0.0
J0016,3,UNLOAD,HOP2,600.0,632.0,0.0
J0011,4,WEIGH_OUT,WB1,604.0,610.0,0.0
J0014,3,UNLOAD,HOP1,604.0,643.0,77.0
J0016,4,WEIGH_OUT,WB2,632.0,639.0,0.0
J0017,1,WEIGH_IN,WB2,639.0,647.0,119.0
J0014,4,WEIGH_OUT,WB1,643.0,649.0,0.0
J0018,1,WEIGH_IN,WB2,647.0,654.0,82.0
J0017,2,SAMPLE_CLASSIFY,LAB1,647.0,657.0,0.0
J0018,2,SAMPLE_CLASSIFY,LAB1,657.0,668.0,3.0
J0017,3,UNLOAD,HOP1,657.0,693.0,0.0
J0018,3,UNLOAD,HOP2,668.0,696.0,0.0
J0017,4,WEIGH_OUT,WB1,693.0,700.0,0.0
J0018,4,WEIGH_OUT,WB2,696.0,702.0,0.0
